Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	Time
0	-62.636177	3.5468504	-56.982315	-66.78562	1000.0	-0.025832543	0.23906496	0.97203565	-1.0303597	4000	-0.008937158	31.138712	-1.7192215e-06	-0.36681032	3.669034	-5.1879886e-07	1.9014534950256348
1	-57.523647	2.612852	-54.82003	-60.858177	1000.0	-0.011088768	0.21348853	0.7910692	-0.8793844	8000	-0.045113746	28.229855	-2.1606684e-07	-0.13354158	3.6881113	6.353855e-08	3.0943045616149902
2	-61.19334	3.1686938	-57.728806	-64.83357	1000.0	-0.031782236	0.20331906	0.90476435	-0.8339718	12000	-0.062946185	29.64387	-3.7625432e-07	-0.13946676	3.6701033	-1.7136334e-07	4.266613960266113
3	-60.067596	1.7961565	-57.05516	-61.77981	1000.0	-0.062719345	0.21329424	0.9006385	-1.0018806	16000	-0.003462377	28.541992	-5.160109e-07	-0.13355446	3.6635942	-1.1402369e-07	5.441283702850342
4	-61.899166	2.2549896	-59.0631	-65.371895	1000.0	-0.057764456	0.24728961	0.759576	-1.0433561	20000	-0.023707053	31.595898	-5.2992254e-07	-0.13819885	3.6940677	4.0087104e-07	6.637144088745117
5	-73.80347	20.109394	-59.285374	-108.49264	770.5	-0.15418075	0.2214458	1.2676911	-1.0773787	24000	0.0058465004	133.4016	-4.3213367e-07	-0.15299606	3.6740248	-2.3144483e-07	7.833795070648193
6	-61.70104	2.5439553	-58.86604	-65.127106	1000.0	-0.12807901	0.18650286	0.8856531	-1.040037	28000	-0.039355353	29.322128	-6.2584877e-07	-0.13641405	3.663613	-8.019805e-08	9.017796039581299
7	-60.2701	1.7166636	-57.389008	-61.92279	1000.0	-0.09257987	0.20006688	0.82833725	-0.97372633	32000	-0.058834802	28.969772	-7.324852e-07	-0.13736868	3.6879132	-4.1928888e-07	10.188835859298706
8	-59.93298	1.5084592	-58.489483	-62.314705	1000.0	-0.18614428	0.20868504	0.6718534	-1.0241823	36000	-0.002266392	27.170738	-2.6635826e-07	-0.1257286	3.6759715	2.107025e-08	11.357434272766113
9	-71.894806	20.017147	-59.03981	-106.521324	768.25	-0.15570022	0.18908072	0.7885697	-1.000121	40000	-0.03135851	125.23097	-2.8312206e-07	-0.15405035	3.6429787	1.3443827e-07	12.801053285598755
