Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	Time
0	-75.41341	0.659439	-74.34956	-76.048004	1000.0	0.09475806	0.063578084	0.4667168	-0.09286931	4000	-0.018760063	47.58937	-2.0032749e-06	-0.27899075	3.669034	-8.186698e-08	1.8211629390716553
1	-74.906876	2.2453818	-71.711044	-78.02034	1000.0	0.06539342	0.06307769	0.4470405	-0.14448561	8000	0.03543172	46.19336	-2.803281e-07	-0.08910656	3.6881115	1.1116256e-08	3.027219295501709
2	-74.074554	2.8903496	-69.40869	-76.78302	1000.0	0.053476114	0.06446437	0.4415659	-0.12862499	12000	-0.031701095	44.99965	-4.2514876e-07	-0.08634758	3.670104	-5.584658e-07	4.221967697143555
3	-74.955635	1.883021	-72.47146	-77.364075	1000.0	0.04568505	0.06246159	0.4361804	-0.17339846	16000	0.01709994	45.918507	-6.1653554e-07	-0.087706566	3.6635964	1.5479326e-07	5.4167749881744385
4	-73.238846	3.8779259	-66.68178	-76.137085	1000.0	0.052014098	0.06444838	0.43163508	-0.14794365	20000	-0.03769566	45.979485	-4.1350722e-07	-0.088134766	3.6940708	1.2400744e-07	6.631688833236694
5	-75.26749	1.467553	-73.84723	-77.68191	1000.0	0.0436392	0.06501653	0.4402566	-0.22980665	24000	-0.0009424947	47.33789	-4.665926e-07	-0.09028435	3.6740298	-3.0845413e-08	7.815094709396362
6	-75.87264	1.0152996	-74.18909	-76.908424	1000.0	0.03516583	0.06490413	0.44424528	-0.15514602	28000	-0.010528932	46.122513	-6.451737e-07	-0.08880043	3.6636202	-4.9078466e-07	9.000324964523315
7	-74.6147	2.4306624	-70.77227	-77.16142	1000.0	0.027293298	0.06462355	0.41756704	-0.22382778	32000	-0.0059974715	45.64309	-7.264316e-07	-0.08827591	3.68792	-2.9337406e-07	10.226925611495972
8	-75.990234	0.6692156	-74.94276	-76.76212	1000.0	0.018327542	0.06276079	0.4089811	-0.16834307	36000	-0.007543888	46.232643	-7.7299774e-07	-0.088952065	3.6759796	-3.3169982e-08	11.440266847610474
9	-75.51471	2.7757888	-71.610085	-79.44334	1000.0	0.020579876	0.06311067	0.5248647	-0.19175436	40000	-0.028897466	47.101665	2.1560118e-07	-0.09062958	3.6429887	6.015897e-07	12.904048681259155
