Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	Time
0	-90.7415	1.3328035	-88.52145	-92.06315	1000.0	0.07056829	0.107156835	0.84635174	-0.34072763	4000	-0.015081111	67.93152	-2.2817403e-06	-0.61120415	3.669034	-4.135966e-07	1.8661515712738037
1	-90.436165	0.7162697	-89.44549	-91.47036	1000.0	0.012911918	0.10561627	0.812443	-0.5410176	8000	0.029442362	67.49391	-4.451722e-07	-0.21786118	3.6881115	-1.4707447e-07	3.0830421447753906
2	-89.48985	1.394224	-87.15639	-90.57555	1000.0	0.021239823	0.11987104	0.8031162	-0.53391933	12000	-0.017651945	65.431656	-7.2456896e-07	-0.21818161	3.670104	-6.744564e-07	4.302485704421997
3	-90.34939	1.4768624	-87.87477	-91.5115	1000.0	0.0072390577	0.11165675	0.7934857	-0.48225498	16000	0.022484683	66.92456	-1.007691e-06	-0.21798229	3.6635966	2.1430851e-07	5.503086090087891
4	-90.465416	2.6232913	-86.99438	-93.475716	1000.0	0.006091733	0.11126497	0.7839053	-0.44453442	20000	-0.019487001	66.95714	-1.0766089e-06	-0.22052193	3.6940713	7.148087e-07	6.719620227813721
5	-90.4684	0.67757124	-89.67101	-91.53296	1000.0	-0.020575702	0.115680404	0.7742327	-0.56457114	24000	0.003426928	67.15497	-1.2582168e-06	-0.22042274	3.6740303	-2.5632977e-07	7.942124128341675
6	-90.54796	0.22965527	-90.21702	-90.82822	1000.0	-0.056627385	0.10615438	0.76014006	-0.5972055	28000	0.029845234	65.90273	-1.3494864e-06	-0.21240807	3.6636214	-6.4429645e-07	9.16229796409607
7	-89.92941	2.4745712	-85.70021	-91.95198	1000.0	-0.060265623	0.11571171	0.7549153	-0.57442385	32000	0.018007338	65.05499	-1.4286488e-06	-0.21527672	3.687923	-1.0021031e-06	10.375876426696777
8	-91.15459	1.7576435	-88.1839	-92.76738	1000.0	-0.07760582	0.110630184	0.74547654	-0.6166809	36000	0.01813738	65.375305	-1.4025718e-06	-0.21410084	3.675983	4.7239658e-07	11.59773564338684
9	-91.6115	1.0739508	-90.53857	-92.81826	1000.0	-0.09044719	0.105424725	0.7359763	-0.6037029	40000	0.0025453307	67.15683	-7.4505806e-07	-0.21869278	3.6429935	1.8053948e-06	13.047630786895752
