Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	Time
0	-108.14673	16.656803	-46.948742	-118.82838	142.0625	0.06348607	0.1580443	0.47922415	-0.38396546	4000	0.025129825	1717.188	-3.516674e-06	-6.3588867	3.6770139	-3.908276e-07	2.2798221111297607
1	-100.16165	23.852955	-39.945923	-120.35716	217.46153	-0.031465817	0.14969595	0.33222902	-0.52593064	8000	-0.028110743	1169.6718	-2.3841858e-07	-0.5619116	3.6791744	-2.2378565e-07	3.7380881309509277
2	-103.65938	14.511251	-55.376217	-122.11038	141.93333	-0.03513271	0.1568813	0.34699515	-0.5853874	12000	-0.0019291043	1451.8932	-6.854534e-07	-0.64532757	3.6286476	-2.3722652e-08	5.1857335567474365
3	-98.52577	24.23822	-40.38603	-115.46133	216.71428	-0.036559727	0.14381364	0.31658062	-0.6404837	16000	-0.009517878	661.19604	-5.9604645e-08	-0.40721798	3.6967962	-2.5093563e-08	6.625696182250977
4	-107.53058	6.29133	-100.04841	-115.71931	156.85715	-0.09017343	0.14428473	0.33447692	-0.54343414	20000	0.0033565238	734.8003	-6.2584877e-07	-0.38850403	3.7411625	-5.280077e-07	8.063419103622437
5	-92.00094	24.052738	-44.956825	-110.872246	332.42856	-0.062233027	0.14355092	0.28783798	-0.58999676	24000	0.0063690543	499.37646	-3.837049e-07	-0.30423403	3.6628916	-9.343029e-08	9.489577293395996
6	-100.35196	17.305077	-54.23842	-117.78984	174.77777	-0.08205566	0.14525051	0.2799065	-0.6137783	28000	0.007218048	800.92053	-4.2840838e-07	-0.3943863	3.6640844	-9.1999766e-08	10.9109046459198
7	-108.0504	7.141521	-97.45443	-119.953735	78.44444	-0.09902752	0.14874549	0.25873226	-0.64698225	32000	0.005261287	969.64496	-1.5646219e-07	-0.48472595	3.685882	-2.578199e-07	12.334898710250854
8	-97.22888	23.373156	-46.36241	-116.60734	278.33334	-0.1090384	0.14202125	0.24402955	-0.5861486	36000	-0.0016285479	721.52844	-4.0978193e-07	-0.3811798	3.6721616	7.140636e-08	13.769490003585815
9	-89.37546	26.414568	-48.09549	-117.737915	398.0	-0.13565925	0.14450613	0.23624243	-0.6404578	40000	-0.022957563	666.64166	-5.364418e-07	-0.38728476	3.6590817	-5.49525e-07	15.560498476028442
