Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	Time
0	-102.38579	18.917868	-43.27837	-127.09592	183.53847	0.06919764	0.25521514	0.8524501	-0.69194835	4000	-0.055671334	1297.8954	-2.4922192e-06	-6.9994044	3.6770139	7.726252e-07	2.083897590637207
1	-100.64331	16.888044	-46.501316	-113.52908	154.58333	-0.10918248	0.24668664	0.73154587	-0.87375754	8000	-0.036198735	1099.0199	-8.940697e-07	-0.9772749	3.6791735	-3.8385394e-07	3.490219831466675
2	-107.1306	21.8061	-36.9015	-133.0188	161.85715	-0.12359356	0.24544847	0.62188464	-0.7992682	12000	0.00049582124	1523.626	-1.0728836e-06	-1.1822474	3.6286454	4.8056245e-07	4.89908766746521
3	-95.75791	19.891058	-46.196373	-113.17359	243.91667	-0.12799472	0.24401091	0.59626794	-0.9445189	16000	-0.017851353	1050.7189	-9.834766e-07	-0.94106865	3.696793	2.2947788e-07	6.3272318840026855
4	-95.94021	22.353546	-47.496758	-114.38713	228.0	-0.12313095	0.24944313	0.61982423	-0.8796652	20000	-0.022551514	517.78864	-1.4826655e-06	-0.57865	3.7411575	-4.0963292e-07	7.733894348144531
5	-73.48359	29.425207	-38.91979	-111.325584	639.2	-0.11503689	0.22907166	0.60405385	-0.829068	24000	0.011681974	231.5265	-3.501773e-07	-0.38172722	3.6628857	-3.7699934e-08	9.157487392425537
6	-105.86944	20.339516	-39.843163	-130.59955	162.2	-0.20549725	0.24643716	0.5134717	-0.95875806	28000	-0.019791573	1617.7036	-9.685755e-07	-1.2317624	3.6640782	1.7035008e-07	10.583332777023315
7	-102.78629	24.945196	-44.653988	-121.59456	277.7143	-0.20600238	0.24291967	0.50216407	-1.0136782	32000	0.0012865067	698.45667	-1.6316772e-06	-0.7578521	3.6858735	2.9689073e-07	11.974842309951782
8	-108.683464	6.281428	-97.65002	-117.88572	140.91667	-0.2763543	0.24673355	0.48161983	-1.0235641	36000	0.027159333	1278.0054	-9.3877316e-07	-1.052208	3.6721523	-8.6203227e-07	13.40104341506958
9	-76.26073	31.13568	-42.71593	-119.83107	795.4	-0.27214703	0.24769479	0.47479272	-0.9930742	40000	0.024718612	234.6578	-1.385808e-06	-0.4600773	3.6590714	1.7592013e-06	15.095309734344482
