Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	Time
0	-60.731075	3.6833713	-55.578354	-65.97951	1000.0	-0.058998648	0.20540035	0.9722283	-0.90651226	4000	-0.030760407	29.139149	-0.00094403233	-26.183317	3.6690338	0.000116007446	1.767268180847168
1	-58.848213	1.456495	-57.674595	-61.242023	1000.0	-5.145618	0.33256695	-3.7274528	-6.5352015	8000	-0.02617281	1.2826257	-0.0007284805	-0.4170416	3.6875117	0.0003207311	2.9349632263183594
2	-61.226707	2.1359196	-58.98407	-64.64851	1000.0	-5.830044	0.31252593	-4.6305385	-6.661493	12000	-0.039471366	1.3637222	-0.0008793315	-0.10684095	3.6687243	-0.00013589364	4.092285871505737
3	-60.64746	2.0332782	-57.20156	-62.263893	1000.0	-5.9260097	0.45182925	-4.608453	-7.193429	16000	-0.006464243	1.040897	-0.00073293597	-0.040337414	3.6610332	0.00027443783	5.261911869049072
4	-61.35063	2.0373254	-58.649956	-64.38885	1000.0	-5.8446426	0.46055177	-4.4199586	-6.9871235	20000	-0.025634766	1.5682282	-0.000553038	-0.0896167	3.6903467	0.00064151484	6.440830230712891
5	-73.49626	20.311237	-60.074055	-108.623344	770.5	-5.7925205	0.5197469	-3.9467368	-7.5741954	24000	0.006314039	92.38482	-0.00061143935	-7.368838	3.6692004	-1.3807206e-05	7.624302864074707
6	-72.81366	19.680359	-58.673893	-106.73942	772.75	-7.418391	0.83918536	-4.1309943	-11.713795	28000	-0.03261718	86.27197	-0.0009460598	-4.9995255	3.657885	-7.0763053e-07	8.798384189605713
7	-59.20525	1.8480906	-56.967083	-61.392612	1000.0	-7.210945	0.90207994	-3.9653635	-12.686281	32000	-0.053698964	3.1082366	-0.00036880188	-2.041943	3.6811948	-0.00013654375	9.953877687454224
8	-60.000465	1.2551047	-58.671307	-61.869797	1000.0	-5.849545	0.7629745	-3.1458054	-10.026426	36000	-0.036737837	0.9374179	-0.00063479436	-0.17491798	3.6680086	0.00029620357	11.121089458465576
9	-71.60615	20.763065	-58.915806	-107.55627	773.75	-5.823343	0.8975326	-3.0744903	-11.215724	40000	-0.021871716	85.31944	-0.00034493953	-7.1230264	3.6336932	0.00011636698	12.547852277755737
