Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	Time
0	-90.70618	0.8274751	-89.56223	-91.90152	1000.0	0.07478106	0.10929048	0.84654796	-0.44454673	4000	-0.010675209	68.0712	-0.0012883171	-63.99675	3.669034	-6.3959305e-06	1.628734827041626
1	-89.49391	0.51525503	-88.655716	-89.95235	1000.0	-7.326959	0.4066837	-4.8229084	-8.843247	8000	0.007527534	2.0349464	-0.0016818866	-1.6466453	3.6881118	0.00022868402	2.815035581588745
2	-89.38571	1.2134519	-87.422035	-90.456894	1000.0	-8.426825	0.353955	-5.7213755	-10.364322	12000	0.0013680011	0.6121253	-0.002391981	-0.082339555	3.6698449	-0.00035628694	4.004293918609619
3	-88.84053	1.9937251	-85.90134	-91.16841	1000.0	-8.711684	0.4052164	-5.9388056	-10.376261	16000	0.03928892	0.24094036	-0.0036760028	-0.012320634	3.6633399	0.0010241688	5.2144176959991455
4	-87.18109	1.4374816	-85.01106	-89.052536	1000.0	-8.914078	0.37258196	-5.9742837	-10.221917	20000	0.010497086	0.6838945	-0.0012824591	-0.15362	3.6941907	0.0018337425	6.409869432449341
5	-87.79051	0.393735	-87.21004	-88.27584	1000.0	-8.310394	0.3409103	-5.71989	-9.977185	24000	-0.0035927407	0.24068163	-0.0024530962	-0.07763778	3.6745787	0.0009154031	7.594188451766968
6	-87.6499	0.9611186	-86.559746	-89.18041	1000.0	-8.482031	0.3239101	-5.944912	-10.0881815	28000	0.04440338	0.19654362	-0.0040832665	-0.018582176	3.664565	0.0004394898	8.787360191345215
7	-85.25155	2.5116885	-81.20631	-87.73408	1000.0	-8.570519	0.37959912	-5.9872794	-10.4736395	32000	0.012277186	0.75670445	-0.00258293	-0.066421956	3.6895304	2.3342262e-05	9.985134363174438
8	-85.3443	1.6161636	-82.95847	-87.02212	1000.0	-8.166284	0.3289881	-5.837259	-10.498499	36000	0.03147531	0.60821086	-0.0015587602	-0.01840195	3.6782613	0.0015093082	11.179071426391602
9	-84.555084	2.1569579	-82.1454	-87.82654	1000.0	-8.3321905	0.43087858	-5.931859	-10.78228	40000	0.007518992	0.20653471	-0.00256385	-0.00797854	3.6460829	0.0021196087	12.653127431869507
