Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	Time
0	-92.26532	24.209385	-67.75696	-119.74977	551.5	0.15850097	0.17557213	0.84974855	-0.5515162	4000	-0.014549047	287.53748	-0.004283689	-149.84982	3.6770139	0.0027107527	2.1539745330810547
1	-70.81154	23.943293	-46.361	-110.23883	765.0	-10.163591	5.781985	-2.5058553	-27.133488	8000	0.020170562	102.20407	-0.003167442	-32.56888	3.679174	0.005796873	3.535421371459961
2	-102.410545	13.942727	-73.16876	-114.49841	223.0	-7.018105	2.760836	3.9791155	-24.469255	12000	-0.029582083	377.6577	-0.0033114143	-199.8787	3.629157	0.00024485186	4.919692516326904
3	-72.75646	18.502783	-55.347225	-103.86219	775.75	-10.888983	10.913338	1.1835921	-64.20756	16000	-0.008395262	102.10776	-0.0027545579	-56.680614	3.6970444	0.006298422	6.322144508361816
4	-63.96174	2.1317248	-60.43551	-65.67939	1000.0	-6.0071154	5.1376715	2.8339689	-41.044827	20000	0.013772622	22.441128	-0.0043661264	-17.467686	3.7409046	0.011588524	7.700006484985352
5	-91.77368	32.019432	-45.593296	-119.453156	455.2	-10.185813	6.1737943	-0.29828224	-34.11021	24000	-0.0015561581	281.9613	-0.002183631	-181.24387	3.6623843	0.0038991002	9.081822395324707
6	-83.82457	26.313625	-60.281986	-119.98857	628.0	-9.008125	6.680723	6.5437155	-55.52482	28000	-0.0045925975	78.00249	-0.003848374	-35.43177	3.6634104	0.0053946823	10.468863248825073
7	-95.91554	24.942854	-57.931885	-117.484726	448.6	-10.380122	13.311318	23.599522	-91.20846	32000	-0.0013413578	94.93878	-0.00052715465	-9.027825	3.6850019	0.0054909424	11.833897352218628
8	-79.37094	20.08412	-64.42536	-113.956955	764.25	-7.383953	6.7955446	24.340223	-56.218475	36000	0.019185424	86.05017	-0.0014913976	-16.793217	3.6710882	0.0041421596	13.211611032485962
9	-76.41408	22.047573	-61.530636	-114.53073	768.0	-7.973938	6.9689913	3.6805751	-66.08599	40000	-0.0033177882	37.66464	-0.0019671135	-7.689117	3.6580734	0.0052083917	14.829190015792847
