Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	Time
0	-77.7401	25.86825	-50.071045	-111.241936	620.6	0.18980576	0.13739608	0.6188438	-0.2282038	4000	-0.018233776	205.63289	-0.0019200519	-110.09807	3.6770139	-9.625169e-05	2.0089049339294434
1	-99.03932	23.23929	-52.889484	-114.428375	248.0	-8.156913	5.5959625	-3.4534464	-39.503826	8000	-0.012828186	197.6228	-0.0026333423	-126.87067	3.678574	0.0005396977	3.3745760917663574
2	-101.12281	43.6355	-55.410294	-162.41437	701.0	-9.304559	8.967458	-2.902587	-78.92589	12000	-0.025925115	199.2247	-0.0018585594	-49.01405	3.6275313	0.002953637	4.757883310317993
3	-55.396034	4.3165407	-49.74397	-61.06016	1000.0	-7.2649207	3.5909207	-4.1735477	-46.25879	16000	0.03578002	18.462626	-0.0034168735	-16.265888	3.6947265	0.0022700075	6.121310710906982
4	-71.55355	24.515074	-55.09562	-113.91567	767.5	-5.4870577	1.8373156	-2.6692235	-30.060276	20000	0.010948703	77.30359	-0.0018499345	-28.60254	3.738854	0.000902822	7.495099306106567
5	-57.378998	3.0661244	-54.59041	-62.198616	1000.0	-6.6454124	3.4778025	-2.8014593	-41.15913	24000	0.0023121983	15.166337	-0.002444623	-12.323946	3.6605618	0.0016910766	8.87108850479126
6	-51.925014	2.9874284	-48.09717	-55.51068	1000.0	-5.604946	1.2464648	-0.87671465	-22.046692	28000	-0.056565046	2.160772	-0.0021540867	-1.0645185	3.661788	0.00036460353	10.228018045425415
7	-69.67503	27.99772	-48.359894	-117.47207	785.5	-5.689624	2.5555003	-1.0571336	-39.153454	32000	-0.022862986	77.625824	-0.0015069395	-55.401737	3.6830394	0.003172673	11.586616039276123
8	-68.30207	24.364162	-52.73567	-110.452774	764.25	-6.5012007	6.870896	-1.7652061	-87.015236	36000	-0.017505683	24.692352	-0.0015754234	-10.867141	3.668642	0.0015006536	12.950319290161133
9	-56.051804	3.2821274	-52.724655	-60.791595	1000.0	-5.5093107	4.804378	1.0822682	-69.16934	40000	-0.016342863	23.162289	-0.0008157231	-20.305918	3.6547937	0.0031736842	14.691188335418701
