Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	Time
0	-116.57889	1.6037446	-108.975006	-120.50813	79.1875	0.5023101	0.077056885	0.66457057	0.23421645	4000	-0.0065237433	5749.8057	-0.0068167504	-5260.3384	3.6770136	0.0149495285	2.295562505722046
1	-117.078125	2.5814686	-107.93564	-122.54628	82.71739	-74.27788	2.805867	-56.811123	-81.484695	8000	-0.027295768	250.66869	-0.0007826127	-75.55133	3.678574	0.0062062843	3.7949984073638916
2	-117.105804	1.3268148	-114.199585	-121.33088	75.67347	-74.943794	4.800914	-55.273582	-81.9584	12000	0.0034053363	143.45853	-0.0018914528	-34.40703	3.6272757	0.013803232	5.317230463027954
3	-117.063995	3.3221958	-107.77126	-128.31706	84.666664	-74.890625	7.531154	-48.507736	-87.85055	16000	0.039046235	180.43845	-0.004221188	-15.144806	3.694808	0.008173156	6.810609817504883
4	-116.38396	2.7825515	-107.72765	-121.3998	81.57447	-72.7398	9.28693	-45.22925	-89.55789	20000	0.00048566237	191.77963	-0.0020063694	-7.1930275	3.7392073	0.004785178	8.299755811691284
5	-117.22252	3.141224	-107.52134	-129.16669	81.065216	-74.32957	9.55284	-46.11967	-92.56361	24000	0.013696849	177.99591	-0.006471779	-13.55365	3.6609437	0.012686633	9.812347888946533
6	-116.73294	2.5856225	-108.04879	-122.387825	77.05882	-73.636765	10.957321	-42.928062	-94.34962	28000	0.01362839	108.91998	-0.0019588554	-9.590666	3.6624224	0.014916799	11.299597978591919
7	-117.55333	3.7214959	-107.988144	-129.40166	83.804344	-75.960175	10.941954	-42.17712	-98.507126	32000	-0.020559475	143.30399	-0.0061521903	-7.9742413	3.6845615	0.015039861	12.791971921920776
8	-115.464806	3.5707314	-107.68338	-121.59496	77.46	-71.989296	12.186871	-38.87947	-97.84881	36000	-0.007362619	201.41293	-0.0047575384	-6.7510567	3.6709003	0.020096406	14.305586814880371
9	-115.547035	3.795431	-107.20992	-120.492744	79.77551	-73.11634	12.056922	-42.54764	-98.36663	40000	0.0022698976	189.96848	0.000784453	-9.61517	3.6577644	0.012970823	16.053571939468384
