Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	Time
0	-104.05054	13.321355	-66.5873	-121.092964	194.41667	0.08081627	0.25342184	0.81951356	-0.7027488	4000	-0.034295365	1183.2612	-0.006080635	-393.71756	3.6770139	0.0034931991	2.0315909385681152
1	-108.9125	6.793679	-94.241035	-118.75958	118.1	-12.735953	2.2448845	-1.3775605	-15.510534	8000	-0.044476666	711.16284	-0.0051033273	-84.27545	3.678574	0.002936293	3.419227123260498
2	-103.90592	4.3925686	-100.09007	-115.3845	135.3	-18.856335	2.8786445	-2.1406784	-20.128868	12000	0.020419016	628.8249	-0.0031172931	-128.19774	3.626784	0.007714333	4.776734113693237
3	-103.72986	5.1028614	-92.75511	-113.44531	96.0	-17.828554	6.3799806	-2.3273451	-23.044945	16000	0.0006134212	1191.4554	-0.0017043799	-257.08655	3.6944318	0.00495399	6.176744222640991
4	-101.92008	15.032394	-49.49316	-115.42661	155.57143	-20.181147	8.828144	-0.80613303	-29.157873	20000	-0.04260233	657.88025	-0.0034569204	-121.04057	3.7383752	0.0010897449	7.559399366378784
5	-105.70526	11.36747	-67.04824	-120.04904	197.41176	-18.61011	11.537659	6.7166276	-31.611115	24000	-0.019196097	726.10376	-0.0024072975	-83.143555	3.6593823	0.002025846	8.936240434646606
6	-96.134	23.089302	-49.344337	-121.80041	351.375	-16.83266	10.190953	6.8793406	-33.98019	28000	-0.019580632	306.94705	-0.005204578	-59.51787	3.6598566	0.0040665986	10.30729079246521
7	-100.5649	24.192192	-47.42014	-133.2974	428.66666	-12.205918	10.3458	-2.1996498	-34.74381	32000	-0.049097404	374.4489	-0.0027119294	-66.0896	3.6808755	0.004790499	11.676999568939209
8	-114.195564	11.318136	-100.58091	-134.21841	243.18182	-20.312792	12.062503	-5.045334	-35.40134	36000	-0.0058438405	471.234	-0.002512943	-52.9762	3.66615	0.004627873	13.043007135391235
9	-107.88651	8.959993	-95.442024	-123.41188	183.91667	-23.107391	14.098032	-4.559112	-36.65791	40000	-0.017367512	508.3582	-0.0009526238	-23.900158	3.6521573	0.0048708916	14.670586347579956
