Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	Time
0	-76.482666	25.853546	-47.873947	-108.76605	620.8	0.18351254	0.13671014	0.5929205	-0.27463713	4000	-0.016636133	203.66803	-0.0020845383	-77.5534	3.6770139	-0.00012916795	2.0113253593444824
1	-82.93771	27.632349	-53.836548	-111.463486	526.5	-7.1063976	1.9536232	-4.8112764	-19.454077	8000	0.018220283	135.51385	-0.002117306	-71.8649	3.678574	0.00040598013	3.412834405899048
2	-75.10692	23.72797	-53.09866	-115.12959	763.75	-8.025087	5.9433146	-2.9104414	-53.1229	12000	-0.014334992	69.73737	-0.00200288	-33.401325	3.6283314	0.0016506525	4.787715435028076
3	-55.343613	1.2183385	-54.50074	-57.44678	1000.0	-5.9706593	3.4531748	-2.2410653	-38.64132	16000	0.02194256	14.548876	-0.0013157772	-13.414631	3.6965094	0.0007494326	6.177659749984741
4	-56.502754	5.251038	-48.614956	-62.49724	1000.0	-5.4479012	1.1622233	-1.5403497	-18.085684	20000	-0.03485708	2.5451806	-0.0010844562	-1.1341548	3.7409947	0.00062930136	7.555067539215088
5	-78.94056	24.734495	-54.180138	-111.31167	635.6	-5.6937137	1.6456466	-3.2991374	-34.0059	24000	-0.028524965	161.4587	-0.00066623837	-120.2607	3.6626506	0.00079191953	8.93886137008667
6	-56.03769	9.283804	-48.69036	-71.4425	1000.0	-6.073422	4.216471	-1.9067087	-65.73279	28000	-0.01679638	19.80789	-0.0011065947	-17.161217	3.6636686	1.5764243e-05	10.339151620864868
7	-68.77553	22.951817	-53.342037	-108.41292	762.75	-5.9111533	1.6988503	-2.1659105	-31.275688	32000	0.028171405	60.62939	-0.00057128817	-47.03354	3.6852512	0.0008460004	11.726637363433838
8	-85.45891	26.485416	-58.96374	-112.676994	527.0	-7.478441	9.610609	-1.5001389	-78.3063	36000	-0.033150896	32.722878	-0.00047523156	-11.2131815	3.6714563	0.00022823042	13.105421543121338
9	-72.914986	22.635695	-53.81955	-111.296455	767.75	-6.575996	8.71252	-0.66115934	-89.781624	40000	-0.013712715	13.968677	-0.0008524172	-6.3550434	3.6581748	0.00054172805	14.765619277954102
