Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	Time
0	-112.87288	3.3268652	-105.92402	-119.02523	82.521736	0.27505377	0.015204155	0.3161602	0.23583898	4000	0.02366133	5203.334	-0.0013878755	-876.10724	3.6770134	0.003313017	2.1536872386932373
1	-113.03243	3.039549	-106.49011	-120.1779	73.92857	-6.473172	0.04505666	-6.30064	-6.5785847	8000	-0.01123026	3847.2637	-0.00093621016	-356.1302	3.6797743	0.0017357417	3.5764358043670654
2	-113.775566	2.8465624	-107.18747	-119.09657	87.545456	-9.915049	0.01991043	-9.781481	-9.96017	12000	-0.02689854	3823.3325	-0.002009321	-436.53076	3.629527	0.002485736	4.997305631637573
3	-112.72532	5.6859426	-84.036705	-121.29785	103.89189	-13.830894	0.01631965	-13.759065	-13.86256	16000	-0.025440067	2725.8245	-0.00018696487	-257.7119	3.6975703	0.00026251705	6.435448408126831
4	-112.0603	3.4831464	-106.78708	-118.23932	77.47369	-17.101784	0.013513531	-17.038378	-17.126492	20000	0.0143345	2513.5674	-0.00052952766	-247.47499	3.7415676	0.0013603268	7.863507509231567
5	-113.69328	3.002948	-106.50967	-119.203156	73.45098	-20.40775	0.009095686	-20.362343	-20.423834	24000	0.019880142	3107.7852	-8.496549e-05	-416.5443	3.6631384	0.0008444672	9.306986331939697
6	-113.86707	2.8672032	-104.73374	-118.378235	78.23256	-24.595922	0.006811818	-24.55903	-24.60874	28000	-0.02772393	2299.9739	-0.00042484514	-247.84094	3.6643276	1.6107151e-05	10.755374431610107
7	-113.722946	3.291075	-106.90019	-121.91911	77.44	-27.875967	0.005344621	-27.843105	-27.885017	32000	-0.04808843	2347.5637	-0.00012756418	-309.38882	3.686006	0.0005115492	12.178739786148071
8	-114.30276	3.12593	-106.83981	-121.45292	80.14893	-31.46093	0.0041691083	-31.43169	-31.46874	36000	-0.00040050596	1944.3936	-0.00029072165	-245.42807	3.6719728	0.00025793095	13.605019330978394
9	-114.05653	2.77599	-106.18251	-118.843796	78.65306	-34.706985	0.0036765935	-34.68174	-34.71331	40000	-0.04664004	1766.5852	-1.982227e-05	-229.28171	3.6586037	0.00012651268	15.309970617294312
