Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	Time
0	-61.39182	3.6607072	-55.400154	-64.68799	1000.0	-0.051209398	0.20660071	0.97384834	-0.9282252	4000	-0.01983478	29.799175	-8.044764e-06	-26.507874	3.669034	1.368523e-07	1.6360013484954834
1	-56.966034	3.5914102	-52.705906	-61.397167	1000.0	-4.947138	0.48229423	-2.6328268	-6.0008163	8000	-0.03127502	1.6801258	-5.789101e-06	-0.40657043	3.6881018	6.4826014e-07	2.8013885021209717
2	-61.307625	2.8570356	-58.453495	-64.66827	1000.0	-5.6628237	0.5493967	-3.175921	-6.5576677	12000	-0.035098054	1.4679443	-1.104176e-05	-0.05626657	3.6700773	-2.1154583e-06	3.971935987472534
3	-60.334114	1.9760066	-57.11011	-62.209137	1000.0	-5.946466	0.47205302	-3.3974211	-6.8993998	16000	0.0050834753	1.022001	-5.6046993e-06	-0.050138816	3.6635504	4.339219e-07	5.147728204727173
4	-62.076866	3.1092079	-57.95862	-66.667595	1000.0	-5.4853163	0.47852045	-3.551446	-6.451199	20000	-0.00035838783	1.3252424	-1.1187047e-05	-0.25605476	3.6940298	2.3429989e-06	6.322286128997803
5	-73.72747	19.644377	-60.342384	-107.67384	770.5	-6.168414	0.489432	-2.9031558	-7.213341	24000	0.0059050024	90.35831	-9.737909e-06	-6.592005	3.6739902	6.5564905e-09	7.4868645668029785
6	-61.751835	0.9962526	-60.74896	-63.400776	1000.0	-7.1753573	0.6801289	-4.312794	-10.041101	28000	-0.045990963	2.8453803	-1.132195e-05	-1.6059595	3.6635866	-3.6548377e-06	8.659760475158691
7	-60.287144	0.6850351	-59.12471	-60.89606	1000.0	-5.94071	0.4991304	-4.268556	-7.6554112	32000	-0.05172976	0.53048736	-1.5712343e-05	-0.047029123	3.6878624	-3.5066903e-06	9.826647520065308
8	-60.114296	2.024052	-56.872093	-61.8684	1000.0	-5.9311786	0.49630836	-4.228833	-7.4507656	36000	-0.021509498	0.9315072	-9.1623515e-06	-0.03065078	3.6758928	-1.1831523e-06	11.000170946121216
9	-72.35441	20.965284	-57.88099	-108.492256	764.75	-5.652787	0.520633	-3.8693647	-8.271439	40000	0.018154696	78.343864	-4.604459e-06	-5.149005	3.6428914	-1.2654066e-06	12.417227745056152
