Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	Time
0	-111.94636	12.7348585	-70.477646	-134.7055	132.33333	0.06825672	0.25615737	0.83412236	-0.63095677	4000	-0.0435037	2362.0305	-2.6809052e-05	-1925.9077	3.6770139	-2.176821e-06	1.9831879138946533
1	-111.24939	6.5266876	-100.19124	-120.14353	87.5	-25.618357	23.777285	-1.6390628	-63.898724	8000	-0.012000829	447.31976	-2.1422282e-05	-165.13864	3.67915	6.51896e-07	3.3488287925720215
2	-77.75541	27.270199	-42.637054	-104.98295	444.0	-13.673086	16.706297	-0.52265185	-67.42416	12000	-0.018620376	261.39575	-5.0830655e-05	-176.11984	3.6286175	3.323111e-05	4.717292785644531
3	-106.49363	13.33131	-62.766365	-121.106094	207.35294	-19.607738	16.959425	-2.6033006	-63.54178	16000	0.019983575	704.7932	-3.806129e-05	-380.69128	3.6967576	-2.636105e-06	6.106345176696777
4	-104.97489	5.7792716	-97.06109	-115.37631	120.72222	-30.862736	19.576214	-8.137734	-75.7437	20000	0.0062483773	315.60342	-8.236244e-05	-78.0494	3.741137	-3.5799174e-05	7.494854927062988
5	-91.36122	32.176853	-43.892963	-131.87296	604.2	-13.106639	12.305493	-3.7165587	-82.941696	24000	0.0065317526	146.89172	-4.5219436e-05	-75.83334	3.6628726	-9.451449e-06	8.910703659057617
6	-108.79	8.368966	-97.83446	-125.37686	102.166664	-30.452126	26.202097	-0.70769465	-82.71668	28000	-0.024133071	488.5291	-8.855015e-05	-253.4144	3.6640716	-1.3204663e-05	10.41912841796875
7	-93.806725	27.087358	-44.40208	-123.482666	338.22223	-19.22759	20.60045	-4.9043455	-88.08078	32000	-0.032576457	241.0426	-4.7240406e-05	-140.34727	3.6858566	-9.491533e-06	11.941023349761963
8	-96.94693	14.35683	-73.914536	-109.95841	376.25	-15.271235	17.234144	-2.5362687	-91.40615	36000	-0.0057435706	193.11166	-4.5001507e-05	-139.60437	3.672118	4.0432215e-06	13.466769456863403
9	-82.80605	31.398575	-41.536896	-119.19326	470.0	-10.818578	11.939062	7.8565	-89.10078	40000	-0.009087563	136.0762	-1.6406178e-05	-70.508255	3.6590362	-1.12875405e-05	15.151777505874634
