Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	Time
0	-123.325035	13.379604	-115.387245	-172.36638	146.6	0.19475974	0.27833155	1.1982121	-0.87434584	4000	0.021185398	1990.3655	-0.0032511204	-346.5506	3.669034	0.000983528	1.6970534324645996
1	-119.1691	9.6594095	-112.03124	-174.28462	98.79487	-5.6632237	0.57385767	-3.2406876	-6.8549848	8000	0.037152022	3798.7004	-0.0017996198	-620.46643	3.6903915	0.0015671174	2.8987348079681396
2	-116.43386	7.106376	-86.87928	-131.49419	112.82143	-11.365875	0.84271044	-6.9953666	-12.417331	12000	-0.009976104	2155.5952	-0.0024426281	-173.91486	3.673972	0.000750626	4.080925703048706
3	-118.204895	8.878013	-109.341545	-164.98169	98.054054	-14.531687	0.6649747	-9.779484	-15.128833	16000	0.0022352412	2723.933	-0.0006586872	-283.52542	3.667859	0.00020424352	5.288027763366699
4	-117.61397	5.047892	-107.13143	-130.86028	85.03704	-17.6185	0.73661566	-13.555072	-18.362164	20000	-0.053926706	1830.9966	-0.0010918081	-118.46362	3.6986136	0.00049575424	6.467325448989868
5	-118.9069	4.53334	-109.67578	-126.543106	91.72222	-20.124434	0.52339655	-16.226566	-20.55534	24000	0.025229663	2291.437	-0.0011390271	-220.54755	3.6783185	0.00019757496	7.6744043827056885
6	-117.509186	3.1990778	-110.07707	-125.2784	81.5	-22.970602	0.6494362	-18.27946	-23.434841	28000	0.055514574	2031.04	-0.00046262145	-163.62631	3.6682196	0.0003360202	8.870079278945923
7	-121.944664	13.143078	-109.7654	-181.33183	127.916664	-25.320753	0.7996299	-20.530497	-25.977114	32000	-0.008223444	1367.2078	-0.00072976947	-67.22208	3.693154	0.000284374	10.05793571472168
8	-124.89973	14.65985	-115.60146	-165.42313	156.77777	-26.458527	1.0099363	-20.53252	-27.665106	36000	0.006932482	640.26086	-0.0009537488	-41.666206	3.6814842	0.0006179662	11.24417495727539
9	-125.51286	21.406176	-82.813866	-172.27438	233.875	-24.791494	2.596992	-12.683155	-27.791506	40000	0.04164256	872.9853	-0.0004952159	-13.999413	3.648796	0.00018073292	12.728981018066406
