Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	Time
0	-48.41591	1.7395368	-46.050407	-50.28665	1000.0	-0.25906757	0.17518555	0.3598286	-1.0212867	4000	0.0005417429	17.27016	-0.007475853	-16.091122	3.6527076	0.012478616	2.5709705352783203
1	-71.45365	39.073036	-44.176464	-138.73878	990.25	-4.420193	0.40229008	-3.5777876	-6.2276974	8000	-0.024256423	111.39743	-0.0062060505	-69.52821	3.6428251	0.004567667	4.399152994155884
2	-46.75689	5.0746465	-39.01085	-51.607292	1000.0	-4.8664904	5.2047358	2.430946	-40.954384	12000	0.0017475039	10.4929285	-0.00470756	-9.221411	3.6887612	0.0022934508	6.2485105991363525
3	-47.19909	2.620882	-42.669712	-48.931583	1000.0	-4.866317	0.8352815	-2.6807356	-12.178132	16000	-0.05167643	1.0924995	-0.0033047646	-0.8120937	3.696743	0.001589118	8.091164588928223
4	-71.4716	28.204332	-47.97751	-109.41581	708.6	-5.0740128	3.1543553	4.0559773	-31.918983	20000	0.01962465	132.19815	-0.0015705973	-113.66676	3.7031105	0.00025216735	9.93822979927063
5	-43.98402	1.4898715	-42.25493	-45.725426	1000.0	-4.3821735	1.7636024	0.4952078	-34.149292	24000	0.0063031428	2.9956355	-0.0021901466	-2.739104	3.6280594	2.6259604e-05	11.736361980438232
6	-64.664696	26.624166	-46.86118	-110.70468	764.75	-5.0387664	6.686517	-2.8848305	-111.03775	28000	0.011104882	29.070911	-0.0023450851	-15.3052435	3.6706228	0.0010184424	13.312546730041504
7	-67.48664	26.593178	-48.252586	-113.349434	772.0	-6.623746	8.869292	-2.0937772	-111.82362	32000	0.003521651	47.66241	-0.0016827937	-31.078762	3.674955	0.00049991516	14.855992317199707
8	-47.45135	2.2402759	-43.66519	-49.46409	1000.0	-5.0872345	3.3001292	2.7322516	-52.682343	36000	-0.0068299584	11.340275	-0.0020455434	-10.984587	3.6673238	-4.6635105e-06	16.407126665115356
9	-49.78204	1.8127389	-47.533783	-51.78688	1000.0	-4.392486	0.9368163	1.2285421	-16.738682	40000	-0.032535315	0.92833656	-0.0017770746	-0.58812433	3.6548746	0.000419216	18.237313270568848
