Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	Time
0	-75.99015	27.071394	-49.60915	-111.29041	620.6	0.19011915	0.13737802	0.5853532	-0.2978706	4000	-0.016156375	205.4434	-0.0040550902	-81.42914	3.6770134	0.0006133986	2.06400203704834
1	-85.270485	27.280313	-53.39361	-113.400894	532.25	-8.040033	2.2031364	-4.8450027	-19.924688	8000	0.0024012625	147.90167	-0.0025925338	-79.80928	3.6780343	0.0011838607	3.4345669746398926
2	-75.446396	28.017895	-55.885838	-123.808525	768.0	-6.735247	6.2552576	-1.9101064	-54.19845	12000	-0.031898998	91.98663	-0.0041340063	-53.437435	3.6274536	0.0036037997	4.82308292388916
3	-54.90085	3.1726024	-51.51273	-59.544678	1000.0	-5.9398994	3.1304178	-0.9849384	-38.909447	16000	0.050709948	12.189798	-0.0015717372	-10.987881	3.694669	0.0004965486	6.217780351638794
4	-57.19522	5.0030093	-51.505863	-63.01018	1000.0	-5.3579216	1.3484967	-1.0949708	-21.984716	20000	-0.03855987	2.7417765	-0.0012297183	-1.3922465	3.7393072	0.00046844344	7.61452054977417
5	-70.13742	24.420462	-52.91656	-112.189964	766.0	-5.6525617	2.098512	-1.5099432	-47.847874	24000	-0.026552364	69.25223	-0.0012968555	-37.284256	3.6606243	0.0006633711	8.994463682174683
6	-55.70096	3.2718072	-50.821896	-59.71154	1000.0	-5.939131	3.5701573	2.221616	-37.87384	28000	-0.03427281	14.290991	-0.0014036708	-12.674818	3.6614754	-0.00029281393	10.383525609970093
7	-56.08951	7.1954517	-49.834816	-68.3349	1000.0	-5.4148164	0.98973995	0.8837683	-14.981361	32000	-0.04908189	3.3389614	-0.00084207766	-1.2147756	3.6827946	0.0009687991	11.757348775863647
8	-70.09045	24.530727	-49.486214	-111.991646	762.0	-5.5547156	2.5762923	-1.3328876	-55.45968	36000	-0.024837598	50.654095	-0.0012015998	-35.335285	3.6684704	0.0003488132	13.134763956069946
9	-70.994095	22.737482	-54.58713	-110.0833	766.25	-5.997047	6.181737	0.8471184	-80.48414	40000	-0.00595814	23.97573	-0.0015309006	-16.004642	3.654873	0.00036149993	14.907367706298828
