Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	Time
0	3.5	1.5	6.0	2.0	1000.0	-8.49981	61.35565	188.67172	-189.21602	4000	-0.0046580723	3785.391	-0.0008593425	2.8366544e+23	0.015786521	0.0010615273	1.865879774093628
1	4.0	1.8708287	6.0	1.0	1000.0	532603040000.0	98304.0	532602950000.0	532602950000.0	8000	0.0009124843	2.4147337e+23	-0.0014327291	-6.3116598e+22	0.0134818535	0.001404884	3.547714948654175
2	6.5	2.1794496	9.0	3.0	1000.0	461584700000.0	98304.0	461584600000.0	461584600000.0	12000	0.00069543836	1.8136972e+23	-0.000923315	-4.7406745e+22	0.012408983	-7.837544e-05	5.267930030822754
3	2.5	1.5	4.0	0.0	1000.0	400035900000.0	65536.0	400035840000.0	400035840000.0	16000	-0.0017501492	1.3622598e+23	-0.0009812289	-3.5606909e+22	0.014232144	0.001857254	6.986368179321289
4	5.75	3.7666297	10.0	2.0	1000.0	346694320000.0	32768.0	346694300000.0	346694300000.0	20000	-0.0029387036	1.0231881e+23	-0.00048394015	-2.6744266e+22	0.02449049	0.0010761289	8.650012016296387
5	4.5	3.2015622	10.0	2.0	1000.0	300465320000.0	32768.0	300465300000.0	300465300000.0	24000	-0.0018939223	7.685121e+22	-0.00014979787	-2.0087473e+22	0.013246784	0.0003317652	10.333136081695557
6	3.0	2.1213202	6.0	0.0	1000.0	260400550000.0	49152.0	260400600000.0	260400600000.0	28000	0.004917099	5.772262e+22	-0.002800569	-1.5087608e+22	0.014077307	0.0020835614	11.990446329116821
7	4.25	4.322904	11.0	0.0	1000.0	225678210000.0	32768.0	225678250000.0	225678250000.0	32000	-1.495122e-06	4.3355235e+22	-0.0002000315	3.644802e+27	0.021521565	5.630483e-05	13.682329416275024
8	3.75	2.6809514	8.0	1.0	1000.0	60394886000000.0	8388608.0	60394880000000.0	60394880000000.0	36000	-0.00057858555	3.1050053e+27	-0.00017543284	-8.115902e+26	0.011644023	0.00017561216	15.340105056762695
9	5.5	3.905125	11.0	0.0	1000.0	52341697000000.0	4194304.0	52341700000000.0	52341700000000.0	40000	0.00034753734	2.332157e+27	-0.0019030841	-6.0958196e+26	0.01961416	0.0027640644	17.048863410949707
