Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	Time
0	5.5	4.609772	11.0	0.0	1000.0	-0.81518775	2.5752823	10.359457	-8.747738	4000	-0.033329524	10.36275	-0.00054358016	-8.010878	0.35447347	0.000107734566	1.9713404178619385
1	3.0	1.4142135	5.0	1.0	1000.0	0.34558064	0.7491554	4.4243407	-4.9118	8000	-0.0008909772	1.5636744	-0.0006845647	-0.49648902	0.26948753	0.000107759675	3.6202971935272217
2	4.5	5.59017	14.0	0.0	1000.0	0.08273632	0.5252853	2.609517	-3.7727191	12000	0.009717638	1.5330236	-0.00090018543	-0.30961746	0.36359406	0.0004640057	5.3012003898620605
3	4.25	4.085034	11.0	0.0	1000.0	0.6714627	0.46160555	4.041622	-4.0625396	16000	0.011656144	1.2274318	-0.0003905554	-0.18320659	0.3130634	4.1886928e-05	7.013596296310425
4	4.0	2.828427	8.0	0.0	1000.0	0.36020672	0.39486438	3.120891	-3.2222724	20000	0.00079695554	1.2595377	-0.0005915867	-0.0846318	0.32044983	0.0004993285	8.751991748809814
5	1.0	0.70710677	2.0	0.0	1000.0	0.44151944	0.38856146	2.7449064	-2.387121	24000	0.016037032	1.2901644	-0.00046079245	-0.20124687	0.27508628	0.00014036118	10.455392360687256
6	2.75	1.7853571	5.0	0.0	1000.0	0.0016760292	0.47235462	2.4572926	-2.7292643	28000	0.013716154	0.90160966	-0.00041257706	-0.09820214	0.31964824	-7.958475e-06	12.165621519088745
7	2.5	2.6925824	7.0	0.0	1000.0	0.37301606	0.40911484	2.6590548	-2.0807981	32000	0.033099063	0.757273	-0.0002519833	-0.117957376	0.28412622	-7.8699086e-05	13.87499451637268
8	2.0	2.1213202	5.0	0.0	1000.0	0.25401148	0.32185903	2.8082943	-1.8062453	36000	-0.009013911	0.9192585	-0.00046997005	-0.050289154	0.31509292	3.3995686e-05	15.574297428131104
9	3.75	3.0310888	8.0	0.0	1000.0	0.037804756	0.41697404	3.781566	-2.40886	40000	-0.016385403	1.7623897	-0.0005419384	-0.23709795	0.3929552	0.00012048252	17.399253845214844
