Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	Time
0	0.0	0.0	0.0	0.0	1000.0	-73.142654	40.60127	53.1964	-225.8892	4000	-0.0008297991	6200.669	-1.1343363e-06	-950.5647	0.005900043	1.248167e-06	2.210873603820801
1	0.0	0.0	0.0	0.0	1000.0	-66.03334	39.878506	57.344864	-224.17769	8000	0.0009748038	5298.333	-1.8918654e-06	-927.31104	0.004213303	2.0136945e-06	3.9390852451324463
2	0.0	0.0	0.0	0.0	1000.0	-57.145695	40.184002	93.325325	-209.67468	12000	6.488495e-05	4379.8857	-3.2159733e-06	-794.2401	0.0018536231	1.0051609e-06	5.626607418060303
3	0.0	0.0	0.0	0.0	1000.0	-49.737648	39.425114	82.9203	-212.49367	16000	-0.0014027564	3765.7944	5.80294e-07	-703.542	0.0029067053	1.2364155e-06	7.333570957183838
4	0.0	0.0	0.0	0.0	1000.0	-40.446938	39.99823	90.46862	-219.77136	20000	0.0015435626	2972.2476	2.4758992e-07	-539.82416	0.0033186972	-4.0092675e-07	9.031891345977783
5	0.0	0.0	0.0	0.0	1000.0	-31.464537	39.85247	80.41247	-192.82098	24000	-0.0006539446	2457.1284	-3.6041383e-06	-380.24335	0.0024005908	1.7355225e-06	10.7453134059906
6	0.0	0.0	0.0	0.0	1000.0	-23.048851	39.95236	105.68907	-177.35117	28000	-0.0015187657	2090.6648	-6.0017146e-06	-306.6925	0.0040927543	6.2806353e-06	12.454601049423218
7	0.0	0.0	0.0	0.0	1000.0	-15.344346	40.000477	120.35191	-184.24275	32000	-0.00011667254	1871.4734	3.489211e-06	-193.7208	0.0016350189	5.1119046e-06	14.213525772094727
8	0.0	0.0	0.0	0.0	1000.0	-6.2498817	39.856037	130.86507	-156.68924	36000	-0.0007321196	1621.2662	-4.9687187e-06	-66.52521	0.0023963456	-3.6243887e-07	15.944444179534912
9	0.0	0.0	0.0	0.0	1000.0	-1.5607873	38.539032	120.18163	-151.34549	40000	4.616942e-05	1622.3163	-5.4425473e-06	-46.190308	0.00072954746	7.8585035e-06	17.82444715499878
