Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	Time
0	6.0	6.4420495	17.0	1.0	1000.0	-5.9339943	62.821102	223.75478	-208.74881	4000	-0.0043260287	3903.2104	-3.1850068e-06	-150.37518	0.0122394515	2.057582e-06	2.1631081104278564
1	2.25	2.772634	7.0	0.0	1000.0	0.3263632	61.039513	204.59312	-177.98026	8000	-0.003730591	4096.9146	-2.4887122e-06	-166.53809	0.01294177	4.2175984e-06	3.8670401573181152
2	5.75	2.4874685	10.0	4.0	1000.0	12.117648	60.0537	223.03195	-184.4379	12000	-0.004385191	3807.2087	-5.390335e-06	-210.10071	0.01477845	-1.3880352e-06	5.553892374038696
3	2.75	2.2776084	5.0	0.0	1000.0	9.16418	58.103664	209.51604	-224.9277	16000	-0.0017096476	3456.414	-4.0799496e-06	-127.02118	0.01219343	2.7580593e-06	7.201259136199951
4	4.0	2.738613	7.0	0.0	1000.0	-10.348918	61.69507	202.25917	-221.78693	20000	-0.0017918597	3747.857	-2.7586502e-06	-175.31451	0.014050217	-3.2065552e-06	8.934873342514038
5	7.25	4.085034	14.0	4.0	1000.0	-3.500711	60.73959	175.84512	-204.41574	24000	-0.003840345	3839.5522	-4.0552113e-06	-191.92603	0.011027638	5.903011e-06	10.620657920837402
6	7.25	5.7608595	13.0	1.0	1000.0	17.149	56.818977	220.58571	-170.89171	28000	-0.0037923895	3422.6829	-6.7489163e-06	-163.45758	0.015821088	1.0837024e-05	12.273057699203491
7	4.25	3.7666297	10.0	0.0	1000.0	0.8792656	55.484886	192.74542	-185.92978	32000	-0.006486419	2869.441	-3.3765682e-06	-97.755066	0.015882596	9.502211e-06	13.97445011138916
8	3.25	1.0897248	5.0	2.0	1000.0	7.179794	54.187527	181.77182	-170.18575	36000	-0.0023526761	3098.2295	-3.3295091e-06	-150.0174	0.012834051	-7.4816353e-07	15.65904951095581
9	3.0	1.2247449	4.0	1.0	1000.0	-19.700342	57.868237	189.66666	-199.72435	40000	-0.0017979008	3610.9941	-2.75423e-06	-253.16583	0.010326271	-6.9266443e-06	17.503875017166138
