Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	Time
0	0.0	0.0	0.0	0.0	1000.0	-2.1494572	30.239735	97.86397	-119.25178	4000	-0.005549581	1091.6023	-0.43472892	-942.0386	0.031526923	7.6193657	2.5247764587402344
1	0.0	0.0	0.0	0.0	1000.0	3.7053018	7.096499	36.42987	-26.820984	8000	0.005082501	61.714554	0.10787231	-40.31407	0.02778914	3.7223468	4.502716302871704
2	0.0	0.0	0.0	0.0	1000.0	7.704943	19.147453	88.126366	-34.15856	12000	-0.0058731716	336.10443	-0.21431254	-271.17877	0.030446805	4.0198236	6.501996994018555
3	0.0	0.0	0.0	0.0	1000.0	2.897599	10.351372	42.660458	-39.94411	16000	-0.0062909564	107.874664	-0.74804056	-89.87075	0.022904549	1.5645251	8.50802755355835
4	0.25	0.4330127	1.0	0.0	1000.0	0.3892569	4.777138	19.181276	-25.216763	20000	-0.0023711347	23.481491	-0.52114093	-13.257051	0.018678632	0.9690807	10.538750410079956
5	0.75	0.4330127	1.0	0.0	1000.0	0.28071782	3.6861942	27.60185	-21.994766	24000	0.0028664325	14.562966	-0.11044857	-9.292889	0.015933484	0.3984942	12.549115657806396
6	0.75	1.299038	3.0	0.0	1000.0	-0.9285247	2.9814825	23.879337	-21.393188	28000	-0.004674297	8.55146	-0.2529797	-4.570652	0.021079551	2.6273112	14.564260005950928
7	0.0	0.0	0.0	0.0	1000.0	-0.21412824	2.2484791	21.250383	-13.169212	32000	-0.0014404401	5.4387016	-0.022850137	-2.333857	0.015780842	1.8647509	16.553433895111084
8	0.0	0.0	0.0	0.0	1000.0	-0.16687065	1.9830495	10.211684	-10.28747	36000	0.0032717262	3.4616218	0.039199013	-1.6910578	0.017059937	1.1774173	18.580907106399536
9	0.0	0.0	0.0	0.0	1000.0	-0.8546838	1.3455712	11.972069	-7.3149567	40000	0.002241828	2.1740162	-0.04757542	-1.120049	0.016329475	0.70973253	20.969415426254272
