Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	Time
0	0.0	0.0	0.0	0.0	1000.0	-0.24891913	0.09162477	0.053806763	-0.52937585	4000	0.020398084	0.06317387	-0.0011882079	-0.06191369	1.6099846	-1.3119949e-05	2.2829642295837402
1	0.0	0.0	0.0	0.0	1000.0	-0.01707732	0.012330172	0.048640925	-0.10499275	8000	-0.010574317	0.0003852562	-0.00093870517	-0.00033620672	1.6267269	0.0002784984	4.143205881118774
2	0.0	0.0	0.0	0.0	1000.0	-0.0019333321	0.00652182	0.0399018	-0.078461446	12000	0.013637347	4.5641616e-05	-0.000640217	-2.5909922e-05	1.6322227	-8.4711886e-05	5.98267936706543
3	0.0	0.0	0.0	0.0	1000.0	-1.5859023e-05	0.0048390194	0.060535017	-0.055077054	16000	0.0012825094	3.3680983e-05	-0.0006127618	-8.153356e-06	1.613312	0.00057107833	7.815114974975586
4	0.0	0.0	0.0	0.0	1000.0	0.00067243807	0.0035583642	0.03648185	-0.046286624	20000	0.002830103	1.6506006e-05	-0.000632928	-3.4131178e-06	1.6464767	0.0001025463	9.647789239883423
5	0.0	0.0	0.0	0.0	1000.0	0.0008986505	0.0037633816	0.042096928	-0.042532712	24000	-0.009688968	1.5038035e-05	-0.0009572831	-4.3067726e-06	1.676521	-0.00023713792	11.490876197814941
6	0.0	0.0	0.0	0.0	1000.0	-6.655296e-05	0.0037917155	0.04218688	-0.071519725	28000	0.039062437	1.4553502e-05	-0.0010617799	-3.8721755e-06	1.6496193	0.000244633	13.365072250366211
7	0.0	0.0	0.0	0.0	1000.0	-0.0001834094	0.002808186	0.027020853	-0.046107993	32000	0.0007552011	8.615078e-06	-0.00060832594	-1.6898153e-06	1.670456	-8.3212086e-05	15.221992254257202
8	0.0	0.0	0.0	0.0	1000.0	-0.0001213092	0.0026976247	0.020533163	-0.04528192	36000	-0.012901291	7.4379122e-06	-0.00044911943	-1.4127788e-06	1.6745899	0.00028903518	17.031213521957397
9	0.0	0.0	0.0	0.0	1000.0	1.2180405e-05	0.002459515	0.027702836	-0.04745276	40000	0.022451214	6.1948804e-06	-0.00048695947	-9.335739e-07	1.6931262	0.00014425068	19.078195333480835
