Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	Time
0	6.0	4.527693	13.0	2.0	1000.0	-0.7462627	2.40862	8.065819	-8.935402	4000	-0.016204715	8.315257	-0.007878805	-6.7931247	0.38057584	0.0099360915	2.017787218093872
1	4.5	5.1234756	13.0	0.0	1000.0	0.43289527	0.8713782	4.0153565	-2.4680283	8000	-0.0153621435	1.9011538	-0.007023459	-0.5417998	0.32885873	0.005151013	3.6499547958374023
2	2.75	2.6809514	7.0	0.0	1000.0	0.34555328	0.70180255	3.299216	-2.401901	12000	0.0023851278	1.2200782	-0.005044771	-0.35529232	0.34180066	0.010205682	5.285728454589844
3	2.25	3.344772	8.0	0.0	1000.0	0.16023842	0.56885445	2.5145257	-1.9191235	16000	0.017589822	0.9300233	-0.0037983311	-0.18440181	0.36721706	0.0072608767	6.926628112792969
4	5.75	2.1650636	9.0	3.0	1000.0	0.36501765	0.5725376	3.2057292	-3.135328	20000	-0.0071153827	1.342798	-0.002266483	-0.38618916	0.30722162	0.0018734294	8.578486919403076
5	3.0	0.70710677	4.0	2.0	1000.0	0.50723326	0.49431404	2.9107358	-1.7597791	24000	7.446855e-05	1.0464325	-0.003579284	-0.35709095	0.3406238	0.0011236488	10.223623752593994
6	2.5	2.6925824	7.0	0.0	1000.0	0.26972705	0.6621301	2.2995374	-2.686931	28000	0.020498808	0.8245939	-0.0014578276	-0.17898816	0.3176938	0.0008104985	11.889139413833618
7	2.5	1.118034	4.0	1.0	1000.0	0.18095034	0.5807701	3.4466782	-2.2333345	32000	-0.013483571	0.65094197	-0.004263472	-0.15247563	0.30738422	0.0032469942	13.523390769958496
8	4.75	1.47902	7.0	3.0	1000.0	0.07905803	0.6717558	2.6350207	-2.8244708	36000	-0.0005294634	1.0953337	-0.000896374	-0.3467629	0.27799004	0.0015973484	15.153976917266846
9	3.0	1.4142135	5.0	1.0	1000.0	0.3225222	0.7458948	1.926047	-2.0357246	40000	0.0045266845	0.5985618	-0.0014208817	-0.19257647	0.35645252	0.0024127248	16.96720790863037
