Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	Time
0	0.0	0.0	0.0	0.0	1000.0	-0.3919347	0.36299592	0.96123004	-1.6691648	4000	-0.021412492	0.26849303	-0.002593395	-0.26091495	1.9363345	0.00031837658	2.040153741836548
1	0.0	0.0	0.0	0.0	1000.0	-0.034848314	0.05381022	0.43447465	-0.40086254	8000	-0.019397276	0.004354275	-0.0012865001	-0.003931811	1.9318788	0.0012749869	3.6891040802001953
2	0.0	0.0	0.0	0.0	1000.0	0.00096084335	0.019544922	0.34049046	-0.3260692	12000	-0.017616494	0.0003834602	-0.0019744243	-0.00011967457	1.9282554	0.0006489963	5.304225206375122
3	0.0	0.0	0.0	0.0	1000.0	0.00058226293	0.017560134	0.33845225	-0.2931532	16000	0.0058186054	0.0003088166	-0.0015652134	-0.00017677704	1.9348518	-6.486435e-05	6.914135456085205
4	0.0	0.0	0.0	0.0	1000.0	-0.00047060437	0.0128227975	0.25618786	-0.3264652	20000	0.0025710054	0.00016470025	-0.00057351356	-4.0562212e-05	1.9316276	-0.00034602924	8.536623477935791
5	0.0	0.0	0.0	0.0	1000.0	2.9726103e-05	0.011568655	0.28266767	-0.3234591	24000	-0.010735165	0.0001338255	-0.00042504538	-8.563035e-05	1.9291906	0.00051358447	10.158910036087036
6	0.0	0.0	0.0	0.0	1000.0	-5.9877893e-05	0.008354434	0.16435498	-0.21959433	28000	-0.012804668	6.98128e-05	-0.00038112327	-3.4024517e-05	1.9327805	0.0007643887	11.784155368804932
7	0.0	0.0	0.0	0.0	1000.0	-6.76389e-05	0.008191603	0.15284753	-0.29111454	32000	-0.0037197368	6.7087836e-05	-0.00029258966	-3.818619e-05	1.912075	0.000111168345	13.413514614105225
8	0.0	0.0	0.0	0.0	1000.0	-3.124539e-05	0.0074831313	0.24162337	-0.15695325	36000	-0.0022347877	5.6088138e-05	-6.7163026e-05	-2.659205e-05	1.9360522	-9.489598e-05	15.041883945465088
9	0.0	0.0	0.0	0.0	1000.0	-0.00036674459	0.013126778	0.29702052	-0.37972188	40000	0.002333912	0.00017236017	-0.00018056056	-4.65405e-05	1.9328747	6.24269e-05	16.830169439315796
