Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	Time
0	0.0	0.0	0.0	0.0	1000.0	-2.6876981	30.614723	93.46237	-128.02972	4000	-0.0046084714	949.8727	0.01225467	-897.44946	0.032567374	2.3717258	2.572000741958618
1	0.0	0.0	0.0	0.0	1000.0	0.32207492	6.526608	38.119045	-27.618937	8000	0.0014436324	44.099014	0.053879835	-32.085518	0.038318194	0.5164558	4.5761120319366455
2	0.0	0.0	0.0	0.0	1000.0	-0.0898243	3.56358	17.256704	-19.046295	12000	-0.005192359	13.489648	-0.021984	-7.7633424	0.027774591	0.28747842	6.580199718475342
3	0.0	0.0	0.0	0.0	1000.0	-0.069284424	2.4177585	15.595653	-16.318424	16000	0.0010665578	5.842577	-0.059849598	-2.8877368	0.031309314	1.7253411	8.577874660491943
4	0.0	0.0	0.0	0.0	1000.0	0.5666233	2.455617	13.189567	-17.98664	20000	-0.0032106056	6.868273	0.024992358	-4.2107334	0.019884981	0.33564055	10.73624324798584
5	0.0	0.0	0.0	0.0	1000.0	-0.13781567	8.18548	41.59999	-27.38617	24000	-0.0036098124	34.90213	-0.026953492	-26.519272	0.021552999	0.16220969	13.000547885894775
6	0.0	0.0	0.0	0.0	1000.0	-0.47511393	3.6070068	21.826395	-16.147985	28000	0.0019468793	9.199114	-0.018010495	-6.851365	0.016286947	0.11601277	15.297147035598755
7	0.0	0.0	0.0	0.0	1000.0	-0.21828993	1.6084507	13.541705	-10.514019	32000	0.0028057771	2.2064993	-0.002792335	-1.1249068	0.015157772	0.23111606	17.589104413986206
8	0.0	0.0	0.0	0.0	1000.0	-0.44334784	1.0866675	12.004592	-7.4452376	36000	-0.0016617337	1.2331597	-0.023364257	-0.07954103	0.018017605	0.14418402	19.876245260238647
9	0.0	0.0	0.0	0.0	1000.0	0.35094953	0.85928357	10.674562	-4.138081	40000	0.0036957853	0.86814314	0.00047525682	-0.32175004	0.021062158	0.04051259	22.253111600875854
