Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	Time
0	0.0	0.0	0.0	0.0	1000.0	56.51645	32.2718	155.4425	-79.116745	4000	0.0	3694.2827	0.0	-3549.5806	0.0	0.0	2.389268636703491
1	0.0	0.0	0.0	0.0	1000.0	7.069151	6.832969	32.283295	-15.315085	8000	0.0	67.53104	0.0	-50.914127	0.0	0.0	4.286794662475586
2	0.0	0.0	0.0	0.0	1000.0	1.7111729	4.1036167	20.448196	-16.121943	12000	0.0	14.040165	0.0	-6.519664	0.0	0.0	6.181403636932373
3	0.0	0.0	0.0	0.0	1000.0	0.90672255	2.9522977	16.477116	-10.993427	16000	0.0	7.3927298	0.0	-2.3668504	0.0	0.0	8.040885210037231
4	0.0	0.0	0.0	0.0	1000.0	0.978704	2.5536993	14.554649	-10.690426	20000	0.0	5.763282	0.0	-2.1025982	0.0	0.0	9.910674571990967
5	0.0	0.0	0.0	0.0	1000.0	0.39244512	1.9904559	9.818967	-8.877696	24000	0.0	3.440858	0.0	-0.8357363	0.0	0.0	11.772102117538452
6	0.0	0.0	0.0	0.0	1000.0	0.44474497	1.73546	8.145147	-6.957296	28000	0.0	2.5886455	0.0	-0.59150946	0.0	0.0	13.646102666854858
7	0.0	0.0	0.0	0.0	1000.0	0.37626415	1.5411932	7.890136	-8.025307	32000	0.0	2.1203773	0.0	-0.42630658	0.0	0.0	15.507253408432007
8	0.0	0.0	0.0	0.0	1000.0	0.35856703	1.462171	7.8730006	-8.304387	36000	0.0	2.2533135	0.0	-0.42849526	0.0	0.0	17.39898109436035
9	0.0	0.0	0.0	0.0	1000.0	0.23170844	1.3103943	5.900202	-5.9853315	40000	0.0	1.5002298	0.0	-0.3515222	0.0	0.0	19.509464979171753
