Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	Time
0	0.0	0.0	0.0	0.0	1000.0	62.85548	35.767006	172.39096	-87.57858	4000	0.0	4546.615	0.0	-4357.0684	0.0	0.0	2.4795424938201904
1	0.0	0.0	0.0	0.0	1000.0	6.957411	8.329009	39.819828	-23.960506	8000	0.0	77.08128	0.0	-61.05259	0.0	0.0	4.365685939788818
2	0.0	0.0	0.0	0.0	1000.0	1.9435029	4.5649967	24.06723	-16.602007	12000	0.0	17.565365	0.0	-9.377787	0.0	0.0	6.257394075393677
3	0.0	0.0	0.0	0.0	1000.0	0.82990015	3.0556138	17.22093	-13.0349	16000	0.0	7.816431	0.0	-3.3723512	0.0	0.0	8.122254371643066
4	0.0	0.0	0.0	0.0	1000.0	0.4544821	2.3382144	13.40394	-9.996041	20000	0.0	5.923373	0.0	-1.4680935	0.0	0.0	10.00530743598938
5	0.0	0.0	0.0	0.0	1000.0	0.4870829	2.02259	10.495006	-9.661117	24000	0.0	3.7875392	0.0	-1.318596	0.0	0.0	11.876410007476807
6	0.0	0.0	0.0	0.0	1000.0	0.24663532	1.6450763	9.038808	-7.7025127	28000	0.0	2.5240674	0.0	-0.6832768	0.0	0.0	13.767904043197632
7	0.0	0.0	0.0	0.0	1000.0	0.18936187	1.4178944	7.6787424	-5.9788017	32000	0.0	2.0303564	0.0	-0.567985	0.0	0.0	15.624233961105347
8	0.0	0.0	0.0	0.0	1000.0	0.116156824	1.2665809	7.4868045	-6.6198416	36000	0.0	1.6214161	0.0	-0.40903944	0.0	0.0	17.497973680496216
9	0.0	0.0	0.0	0.0	1000.0	0.17344412	1.1538992	6.4053364	-5.400595	40000	0.0	1.2860187	0.0	-0.20582771	0.0	0.0	19.718400716781616
