Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	Time
0	-438.1424	155.2245	-123.323456	-746.7141	95.55	-0.34203076	0.143249	-0.013430342	-1.2182796	4000	0.03274927	53341.1	-5.760696e-06	-484.26172	1.8237761	-2.7110427e-06	2.241267204284668
1	-426.95175	142.12439	-81.718666	-743.0171	95.075	-1.469324	0.12636097	-1.0025308	-1.9702504	8000	0.011068404	51726.062	-1.1064112e-06	-11.15918	1.8209127	-1.1777878e-07	3.710357904434204
2	-424.5789	151.176	-37.643845	-717.6838	91.36585	-1.4938692	0.14915119	-0.98495996	-1.9789429	12000	0.008669727	52264.85	-1.268927e-06	-11.198242	1.8404727	-6.746203e-07	5.1973326206207275
3	-413.2928	145.69353	-162.13881	-642.1021	91.21429	-1.5032966	0.14741828	-1.1559767	-1.921725	16000	0.028121173	49844.81	-1.7285347e-06	-10.78418	1.8318639	1.0216236e-07	6.662826061248779
4	-414.5745	178.91658	-95.462975	-770.3087	93.7381	-1.5341392	0.18016665	-0.97987974	-2.9316957	20000	-0.012602411	53478.453	-2.3900066e-06	-11.197266	1.8427889	1.8047392e-06	8.12738847732544
5	-414.94168	167.48563	2.7503054	-687.66003	94.65854	-1.5657948	0.17830741	-1.0328845	-2.1222825	24000	-0.01592734	50323.418	-2.5136396e-06	-10.901367	1.8171862	-2.304971e-06	9.607849836349487
6	-406.50885	165.50848	-42.886852	-762.48206	92.80488	-1.5654141	0.17286627	-0.99407345	-2.3977122	28000	-0.0057852045	49869.695	-3.1609088e-06	-10.6875	1.8524758	1.32294e-06	11.078858852386475
7	-389.94012	169.67828	14.12907	-666.896	89.81396	-1.6021653	0.17681527	-0.87768924	-2.206566	32000	-0.011395201	47841.89	-3.4980476e-06	-10.654297	1.8559976	-1.2416094e-06	12.527526140213013
8	-399.70117	179.84038	29.716997	-674.5561	92.04878	-1.6429303	0.19287845	-0.9880345	-2.5023887	36000	0.009452183	49901.992	-2.488494e-06	-10.829102	1.8520443	-4.012406e-06	14.033842086791992
9	-391.4907	170.09065	-61.245144	-698.27783	90.4186	-1.6534308	0.2309181	-1.0147388	-2.4055293	40000	-0.008647539	48335.906	-3.5464764e-06	-10.521484	1.8450577	1.8513799e-06	15.767311811447144
