Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	Time
0	-339.77686	183.36856	-7.8863487	-688.71454	98.15385	0.12515326	0.12482801	0.8394621	-0.100707375	4000	-0.0071891397	41143.168	-9.6242875e-06	-282.01855	1.8317795	9.3322996e-07	2.177031993865967
1	-381.98514	151.09155	-64.43223	-658.2193	99.8421	-0.6671768	0.12588833	0.061332703	-0.8751871	8000	-0.034690358	44157.12	-1.013279e-06	-5.4033203	1.8392586	-1.8271803e-07	3.4995741844177246
2	-387.79355	158.69394	-51.74907	-627.1281	96.15	-0.68791527	0.118238695	0.038199335	-0.8818724	12000	-0.015095655	48107.008	-7.429626e-07	-5.7216797	1.84853	-4.9142545e-07	4.837600469589233
3	-351.2267	164.00513	-84.268265	-694.7006	103.25714	-0.6949089	0.12825032	0.13720521	-0.88018703	16000	0.017177075	38081.46	-9.1968104e-07	-4.8339844	1.8130765	-3.914535e-07	6.140130043029785
4	-325.82593	178.14774	26.162035	-702.318	99.35897	-0.7006234	0.11727618	0.07445368	-0.8870716	20000	0.009892613	36545.594	-1.1799857e-06	-4.5078125	1.8234522	-1.1801719e-06	7.6053242683410645
5	-327.11215	181.26364	5.1853213	-642.2284	92.97561	-0.71491843	0.119291596	0.03758657	-0.92085683	24000	0.019342035	38572.766	-9.750947e-07	-4.7841797	1.8248827	2.8163193e-08	8.888815641403198
6	-373.35605	167.12366	38.86362	-688.5742	97.175	-0.7297641	0.12586427	0.016898274	-0.9182171	28000	0.0017574131	45746.64	-1.0512304e-06	-5.397461	1.8215544	7.134527e-07	10.239982843399048
7	-362.253	170.82983	3.405507	-708.69244	97.76923	-0.7378974	0.12242239	-0.013874918	-0.9364902	32000	-0.006928757	44344.07	-1.5795231e-06	-5.2617188	1.8381842	2.7145444e-07	11.55655837059021
8	-380.89822	164.05121	38.650517	-651.0821	97.289474	-0.7612084	0.11469871	-0.040227056	-0.9499822	36000	-0.017047599	45282.285	-1.501292e-06	-5.3623047	1.850764	1.3108547e-07	12.908584356307983
9	-292.68704	168.66112	36.043247	-646.66895	102.91892	-0.7703429	0.119053684	-0.040936053	-0.9640074	40000	-0.0072078854	30183.174	-1.4267862e-06	-4.1030273	1.8450975	-1.8898547e-06	14.650940179824829
