Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	Time
0	-158.60844	89.16089	-31.05256	-425.0277	90.190475	-0.021154711	0.41424453	0.8598881	-1.763708	4000	-0.033494383	9689.738	-0.00057365745	-577.0985	1.8369071	4.2985776e-05	1.4384748935699463
1	-194.81546	105.36635	-54.71565	-463.35614	105.19444	-3.4317102	0.8782176	-0.61661816	-7.6774282	8000	-0.00044275448	12431.8125	-0.00032812543	-680.58374	1.8592355	3.4552173e-05	2.61716365814209
2	-154.23878	79.8478	-10.883482	-386.46378	98.0	-6.7455635	1.8512514	1.1296941	-12.773694	12000	0.01681085	6875.486	-0.0003976971	-445.17896	1.8209867	4.981848e-06	3.6404378414154053
3	-164.4304	86.95198	-52.6226	-471.13104	92.48781	-10.03869	1.5887866	3.726898	-16.72411	16000	-0.0002924651	8003.422	-0.00050728116	-559.77545	1.8485155	0.0001597041	4.662188768386841
4	-168.1054	78.82875	-28.12362	-451.5266	98.4359	-14.126789	1.8343977	-3.9680583	-31.971794	20000	0.014516801	7552.408	-0.0009069517	-579.64307	1.8484855	8.33249e-05	5.706016540527344
5	-155.68562	107.44221	41.868515	-551.16455	100.02631	-18.106613	2.6141298	-0.21073514	-42.47387	24000	0.006515354	7238.881	-0.00015059486	-468.27704	1.8521746	4.6474117e-05	6.745134353637695
6	-132.93143	66.43142	-10.370944	-370.963	95.2	-20.660515	4.3405757	6.8616138	-51.209316	28000	-0.0022189375	5079.821	-0.00047431607	-285.6776	1.8129702	-3.7684098e-05	7.815070867538452
7	-164.89165	79.41354	9.677364	-325.66342	98.69231	-23.466227	4.5834208	0.3930356	-66.08392	32000	0.020455249	6258.4673	-0.000613682	-483.4131	1.8477461	0.00025506865	8.84394907951355
8	-143.50671	53.239063	-83.35911	-347.05222	90.07143	-27.983242	4.034964	-17.45221	-74.37608	36000	-0.0051028337	3139.9463	-0.00037725456	-289.2584	1.8447632	-4.529491e-05	9.864557027816772
9	-161.71263	91.20157	0.19266602	-475.76526	93.242424	-29.321089	7.1697006	9.318238	-80.31966	40000	0.006756529	5008.258	-0.00041825976	-218.85596	1.8616896	0.0001831802	12.675622463226318
