Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	Time
0	-279.25662	124.10789	-71.658394	-617.34174	121.83871	0.18705824	0.1976639	0.9123553	-0.51630324	4000	-0.0049994886	21255.375	-0.00036095362	-740.63086	1.8369071	0.00016443498	1.6037542819976807
1	-224.54732	103.62309	0.79208	-438.95544	119.645164	-2.4504418	0.76562315	-0.44360998	-9.770768	8000	-0.010422122	13763.428	-0.00035164226	-582.53076	1.8592355	8.402032e-06	2.735156536102295
2	-295.08078	145.29356	-59.611374	-590.4524	128.70833	-5.061638	1.9278599	-0.84740704	-17.153553	12000	0.004355192	20617.844	-0.0005906895	-927.8146	1.8209541	0.0001878097	4.99736475944519
3	-257.23294	124.79957	-66.23709	-444.99576	113.70588	-9.325039	3.2521508	-4.2136683	-32.643764	16000	-0.016058514	19532.086	-0.00052791275	-1187.7566	1.8482283	-2.1287691e-05	6.129918575286865
4	-233.64108	121.62435	-59.428802	-542.95905	120.84375	-13.035212	4.5911837	0.0710623	-47.923786	20000	-0.002809018	14448.229	-0.00042216107	-805.17676	1.8476717	-0.00018037311	7.29019832611084
5	-235.30081	116.14792	-80.85987	-537.7385	119.19355	-15.992061	5.500093	-0.17866763	-64.97032	24000	-0.002681017	12215.289	-0.0008458467	-655.5009	1.850761	0.00012115779	8.440603971481323
6	-227.66586	131.53386	-76.724754	-572.9782	128.71428	-18.278454	6.168497	-7.4320087	-62.646786	28000	-0.0023629442	11155.42	-0.0003111749	-583.03076	1.8109196	4.5805114e-05	9.756440877914429
7	-234.23277	125.10522	-0.47224057	-423.54895	123.77419	-22.644415	6.7924747	-2.8561373	-86.7971	32000	0.0011429191	11176.449	-0.0006318353	-679.21326	1.8450569	4.748592e-05	10.885102272033691
8	-199.59828	102.92959	-61.377037	-410.91168	107.32353	-26.228754	6.927219	-0.2716346	-91.75412	36000	-0.00758639	8929.959	-0.0005220426	-536.01294	1.8414171	0.00011246793	12.002285242080688
9	-168.30885	105.7535	16.526955	-394.2165	120.83871	-29.599874	8.103759	-4.941321	-116.57294	40000	-0.02451104	4766.7305	-0.000425227	-278.31854	1.8577391	-6.823458e-05	13.358890295028687
