Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	Time
0	-817.3336	160.761	-593.3166	-1286.6012	87.681816	1.0049816	0.31900564	2.004535	0.3777073	4000	0.0133083705	183822.88	-0.0013904106	-5107.59	1.8369071	0.0006423751	1.6555559635162354
1	-850.08563	173.43254	-655.611	-1376.9146	91.38095	-6.165661	2.372506	-2.9763558	-14.903308	8000	-0.005029492	189715.03	-0.0004343083	-5174.449	1.8592356	0.00076680153	2.864525556564331
2	-767.5131	179.01105	-505.3347	-1458.9843	85.155556	-13.030411	5.6324677	-5.3728385	-37.301075	12000	0.011355653	162309.86	-0.0014009107	-4596.203	1.821077	0.0014497268	4.06151819229126
3	-780.56213	132.80351	-573.892	-1187.7852	85.295456	-20.176266	9.224534	-7.9900765	-49.215534	16000	0.017324075	155733.75	-0.0013547279	-4643.0117	1.84867	0.0005834483	5.255922317504883
4	-816.9758	167.78656	-515.9918	-1445.6678	93.04878	-27.91173	13.708279	-9.996157	-78.441826	20000	0.022775378	157073.81	-0.00067039765	-5021.504	1.8488327	1.2190838e-05	6.474249601364136
5	-805.7007	147.74965	-608.5709	-1355.6406	91.2381	-36.586655	17.711971	-12.662956	-99.832344	24000	-0.02845382	151286.78	-0.002163457	-5129.246	1.8528697	0.0005197105	7.658112049102783
6	-776.96533	159.13605	-553.5599	-1286.3	88.809525	-44.94007	22.465286	-14.487077	-121.87353	28000	0.0022036266	137709.9	-0.00067459233	-4663.574	1.8135221	0.001167213	8.85802698135376
7	-752.93036	102.97163	-578.3269	-1050.9773	84.77778	-52.021492	24.347946	-13.069894	-122.84333	32000	0.033103466	125881.234	-0.00016624725	-4200.3984	1.8481874	0.00028130133	10.031644344329834
8	-753.2461	133.90977	-582.1628	-1258.544	87.02273	-59.994244	28.363726	-19.665533	-157.86775	36000	0.0058065094	123491.34	0.000101334415	-4337.1875	1.845281	0.0008069305	11.207588195800781
9	-710.8994	131.13686	-455.45947	-1140.816	84.84091	-67.2399	31.311008	-19.793882	-197.41327	40000	-0.016398083	110932.22	-0.000611078	-3648.9668	1.8624042	-7.083562e-05	12.791034698486328
