Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	Time
0	-197.76291	117.10963	-24.46733	-493.582	96.875	-0.0071449927	0.3305686	0.5535364	-0.96089077	4000	-0.0147354305	13676.514	-0.0004663542	-499.74658	1.8369071	0.00023230915	1.4874470233917236
1	-149.64915	102.9115	1.7425352	-391.22247	93.80488	-2.5412896	0.61967057	-0.54453313	-4.298811	8000	0.01337868	8795.151	-0.00031203777	-253.42065	1.8586358	8.351308e-06	2.533660411834717
2	-151.52232	72.34694	-39.46242	-338.80026	94.190475	-4.1254888	0.9749059	3.246367	-6.4553685	12000	0.012954757	7762.466	-0.0004343018	-279.91882	1.8204973	-8.9417255e-05	3.537405014038086
3	-140.27567	92.28318	-29.312737	-430.8934	94.7	-6.0042176	0.6517504	-3.827676	-7.9417353	16000	0.012906611	6617.17	-0.0007030219	-189.3075	1.8481266	7.24652e-05	4.549527406692505
4	-149.88895	87.49944	-30.427761	-474.3633	91.731705	-7.25844	1.1134701	2.1340766	-9.584446	20000	0.036120567	7641.0625	-0.00091286935	-224.69019	1.8480152	0.0002943739	5.557782411575317
5	-156.53387	91.641945	-49.97275	-408.28033	93.31707	-8.7368765	0.7146946	-1.7001307	-11.399341	24000	-0.014104605	7829.731	-0.0005315915	-232.18842	1.8519523	0.00020186069	6.559267044067383
6	-152.37703	81.243904	-46.60223	-414.66495	91.95	-10.227358	0.66798216	-3.4864383	-12.634569	28000	-0.009309582	6771.676	-0.00076879933	-169.05573	1.8126998	0.00020380157	7.568879842758179
7	-168.50148	92.437904	-70.865265	-439.37234	93.3	-11.487482	0.7795221	-4.0198283	-14.057118	32000	-0.0031140894	8771.967	-0.0007180469	-216.47925	1.8473281	0.00051917904	8.57062816619873
8	-166.52116	77.89592	-76.66348	-438.9109	92.925	-12.808618	0.89423996	-6.382212	-15.602366	36000	-0.01635348	7557.091	-0.0004626587	-191.13922	1.8440925	0.00011158644	9.587138891220093
9	-176.2334	96.16694	-26.44567	-407.4171	99.25641	-13.928521	1.1674545	-1.8444021	-16.988203	40000	-0.004072454	9076.109	-0.0003760606	-193.90967	1.860751	0.00019819356	10.994609832763672
