Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	Time
0	-153.34732	90.819756	37.907795	-392.57104	97.15	-0.008537141	0.4353637	1.0022384	-1.34165	4000	0.0005235821	8054.1367	-0.0005995445	-569.5029	1.8369071	9.568299e-05	1.465979814529419
1	-142.00922	73.47099	-6.569501	-311.48523	92.36585	-3.2669818	1.3495017	2.6161098	-6.533803	8000	0.025756542	7010.8057	-0.0006075476	-421.39148	1.8592356	3.544031e-05	2.4800286293029785
2	-146.59232	77.009514	-23.340096	-380.08762	90.14286	-6.238734	1.2677824	2.4017797	-8.989498	12000	0.015233099	7653.531	-0.00049896166	-435.74634	1.8212786	-5.3925334e-05	3.4940459728240967
3	-166.4613	116.10534	8.7397	-536.67737	93.9	-9.1572275	1.2743874	-2.2918684	-11.8358135	16000	-0.003984615	10786.426	-0.00059708767	-468.2306	1.84899	0.0001756021	4.511114597320557
4	-170.01295	105.99114	-59.65653	-538.4366	93.756096	-12.074899	1.2946424	-3.4786444	-15.051562	20000	0.0154033825	9730.617	-0.0004519811	-415.21985	1.848991	0.0003235513	5.518877267837524
5	-150.03886	89.422386	77.607285	-401.09662	88.139534	-14.706558	1.2823775	-4.788146	-17.57396	24000	-0.018346936	6949.085	-0.00042174757	-268.34167	1.852777	6.860999e-06	6.529584884643555
6	-148.05383	80.75657	35.7663	-389.7355	99.0	-16.692478	1.3520666	-3.383277	-19.561626	28000	0.02816695	5362.5713	-0.00097272266	-200.93536	1.8133185	0.00020912266	7.550841569900513
7	-178.76929	91.068275	15.975892	-347.96823	97.76923	-18.238337	1.5020052	-6.3731503	-21.058706	32000	-0.0036135167	8620.283	-0.0006598048	-312.67676	1.8480248	0.00027019402	8.593473434448242
8	-133.04594	55.470432	-37.518887	-304.71234	91.63415	-20.419405	1.0974993	-8.069005	-22.98065	36000	0.0008121133	3751.9985	-0.00033117388	-137.80591	1.8448479	-0.00016243561	9.605337619781494
9	-133.21861	56.24614	-3.388269	-307.8521	85.25	-21.686638	1.3499732	-7.5612664	-24.045208	40000	0.018223334	3996.6973	-0.0007112175	-130.29321	1.861707	0.00032426606	10.884705066680908
