Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	Time
0	-390.77124	151.40718	-105.601	-690.9536	95.36585	-0.31569153	0.12555225	0.09139015	-0.78258836	4000	-0.0035951287	46209.914	-0.0032709017	-31098.797	1.8237762	0.0004443595	2.1439857482910156
1	-387.91107	183.96812	8.436632	-673.27234	98.46154	-121.187485	50.686497	-28.90415	-278.18607	8000	0.023030803	15991.943	-0.0010832688	-8838.256	1.8209124	0.00014801571	3.5835959911346436
2	-393.14917	159.71129	-47.7344	-720.2876	101.76316	-181.12332	42.050426	-39.82737	-349.6269	12000	-0.022662986	5487.077	-0.002565567	-2054.9456	1.8406672	0.0012640094	5.021602392196655
3	-364.63763	192.77611	16.09286	-660.5743	98.35897	-200.79611	45.450676	-34.514175	-387.20297	16000	0.013932336	4783.6475	-0.007132463	-955.3172	1.8319955	0.0031689343	6.453970909118652
4	-305.5148	171.74718	-21.77646	-715.9562	94.585365	-182.3917	49.904636	-50.644035	-370.17255	20000	-0.006012872	3423.566	-0.007886089	-623.3716	1.843052	0.007796715	7.8879234790802
5	-274.32812	155.0783	44.273796	-503.85275	99.42105	-165.06944	51.531536	-34.630257	-332.8042	24000	-0.014958911	3232.3193	-0.0072078053	-615.2451	1.8175193	0.0012795561	9.32079792022705
6	-244.4253	151.14555	-41.881153	-573.2749	93.825	-138.75868	48.450993	-41.05535	-253.82121	28000	-0.015244577	3365.4238	-0.0049291523	-209.9892	1.8526819	0.0053929947	10.737401247024536
7	-222.96727	123.24537	51.01927	-456.85672	100.10811	-133.603	45.243237	-22.948175	-301.72708	32000	-0.029786907	3669.0383	-0.008834403	-692.83716	1.8559757	0.0038984544	12.166335105895996
8	-196.81792	89.14783	-67.80221	-413.56607	99.68421	-110.264	35.259487	-38.550392	-257.0385	36000	-0.0064779874	1724.1301	-0.009665372	-338.98755	1.8515576	0.0012958625	13.615277528762817
9	-158.82047	72.06467	-29.945667	-328.9924	104.3871	-91.40744	28.826094	-22.376656	-191.3792	40000	0.017475203	3004.5552	-0.0035073943	-950.18567	1.8441019	0.005768547	16.078691244125366
