Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	Time
0	-205.1049	159.12927	-20.63772	-524.23114	86.82222	0.5070543	0.29196852	1.2141309	-0.5324566	4000	0.017351046	23421.977	-0.012810622	-13540.349	1.8317795	0.0060381033	1.8739588260650635
1	-153.88644	131.7378	54.529545	-502.93137	90.47619	-64.63773	20.399912	63.480244	-153.16167	8000	-0.0051094666	5987.5996	-0.010357905	-668.59485	1.8392588	0.0045827916	3.129218339920044
2	-124.884895	87.89852	91.4277	-261.9974	126.76667	-86.48855	23.404772	80.44169	-138.86569	12000	-0.0021110252	3472.086	-0.011054926	-1117.0052	1.8484786	0.0042340267	5.75021505355835
3	-101.95634	88.06129	20.333813	-311.60385	112.48485	-63.208645	18.528448	-0.1342668	-134.02199	16000	-0.010577045	3044.5132	-0.0045448802	-277.88174	1.8132033	0.0051388266	8.075494050979614
4	-85.86607	78.50798	7.9209504	-338.54288	92.125	-44.77863	19.653408	61.631596	-85.058426	20000	-0.02043815	3330.5999	-0.008308478	-674.3187	1.8235881	0.0049516577	11.015807151794434
5	-42.83844	41.910187	33.84664	-176.45682	93.12195	-41.16193	8.370176	17.244703	-59.441017	24000	-0.0015430041	1861.2452	-0.0056358203	-344.81183	1.8246741	0.0041148798	12.293113708496094
6	-48.28675	48.549664	35.963936	-194.27223	89.59524	-28.528131	6.0989223	13.612759	-47.56185	28000	-0.002035495	1634.9247	-0.0060149166	-129.9277	1.8209893	0.0072676595	13.537996053695679
7	-53.471283	53.681602	31.038591	-177.43594	100.57143	-21.609188	7.922959	6.2710724	-49.154354	32000	-0.014413096	2117.3708	-0.0014625422	-94.8475	1.8372867	0.0039504496	16.055275201797485
8	-51.460808	64.16862	50.063576	-252.19644	105.22222	-20.921871	4.3205194	2.3895416	-38.93318	36000	-0.030611262	2605.5674	-0.0047459756	-157.29694	1.8493934	0.006800149	17.383028268814087
9	-32.3818	63.146317	56.377407	-291.10477	102.69444	-23.39194	5.0529847	8.341595	-53.449097	40000	-0.016490452	2231.489	-0.003705524	-74.5842	1.8431576	0.009153092	19.085829257965088
