Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	Time
0	-176.55779	133.39711	-22.225817	-474.0905	90.21429	0.29555434	0.18909372	0.7677538	-0.31380334	4000	-0.013775006	15505.884	-0.0022922915	-2955.338	1.8317795	0.0022998014	2.3163397312164307
1	-224.9155	176.80896	-13.491099	-618.57825	90.268295	-16.041674	2.4188292	14.138694	-16.674425	8000	-0.011214066	21302.033	-0.0026218533	-1328.313	1.8392588	0.00055362657	3.679079532623291
2	-183.68074	147.71294	7.2628016	-546.0093	95.34146	-22.683914	0.4248445	-14.456396	-22.798313	12000	0.012551177	12939.263	-0.0039445665	-568.7169	1.8481786	0.0010234059	4.921374082565308
3	-113.48859	91.76396	10.467098	-340.6706	89.42857	-26.362093	0.3989153	-19.559177	-26.47185	16000	-0.022244416	4369.787	-0.0018745288	-124.65106	1.8126819	0.00043488393	6.165309190750122
4	-116.84926	113.88885	14.214994	-477.84674	95.97436	-28.101746	0.2822687	-22.055243	-28.17179	20000	0.010645285	5365.118	-0.0023621991	-127.726135	1.8226291	0.00044513083	7.411762237548828
5	-121.73425	99.09512	32.5913	-422.87366	93.925	-29.7135	0.33508936	-23.768503	-29.772013	24000	-0.0132512525	4651.1064	-0.0027036145	-111.09119	1.8238566	0.0018320335	8.651355504989624
6	-96.354996	76.29778	14.860164	-357.1081	94.175	-31.295527	0.14486884	-23.009722	-31.332367	28000	0.027161641	2533.772	-0.0012514256	-47.644714	1.8201977	-2.472887e-05	9.885115146636963
7	-107.08844	81.58852	7.5226617	-323.06165	93.04878	-32.36277	0.050750993	-31.254671	-32.392464	32000	-0.019662857	2724.8623	-0.0047447775	-59.650314	1.8368258	0.0011971691	11.12113356590271
8	-89.164604	68.585846	0.61701983	-274.78366	106.45946	-33.48618	0.25075164	-29.313717	-33.549774	36000	-0.00359191	1919.0094	-0.00083054975	-24.79161	1.8492211	0.0019086514	12.44185471534729
9	-101.693756	72.58326	20.77372	-269.91248	95.5	-34.239735	0.39493296	-29.903416	-34.327755	40000	0.009083338	2932.067	-0.0022966973	-17.66742	1.8433597	0.0035461131	13.947887182235718
