Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	Time
0	-834.189	219.90865	-492.97363	-1519.5535	88.181816	1.0284371	0.3374676	2.9629831	0.4281613	4000	0.022238754	200158.9	-0.0009023417	-3263.6953	1.8369071	0.0010657818	1.721651315689087
1	-819.0716	190.47269	-608.20306	-1361.8683	88.30232	-3.1816971	1.1123748	-0.8251104	-7.695688	8000	0.024075536	185176.97	-0.000764258	-4377.867	1.8598356	0.00051356934	2.9278290271759033
2	-786.21857	175.66954	-439.52615	-1468.3231	89.325584	-9.114207	3.76568	-2.4218879	-24.556013	12000	0.0033490062	168599.25	-0.0011900663	-5929.2734	1.8220977	0.0010258825	4.140995264053345
3	-779.43445	180.40259	-519.7782	-1324.3024	86.022224	-18.194807	8.439816	-6.8855734	-47.490063	16000	0.0024644583	159461.89	-0.0005603321	-8547.078	1.8498254	0.00047158438	5.3242597579956055
4	-819.5306	155.70367	-643.85693	-1414.5643	89.42857	-32.75207	16.042868	-11.228655	-91.334274	20000	0.00962727	158406.16	-0.00020047277	-11351.822	1.8498712	-0.00028699482	6.5129618644714355
5	-807.0454	157.74066	-581.61206	-1224.9059	90.93023	-52.01297	27.102146	-16.48054	-151.18857	24000	0.0036071688	144532.16	-9.251293e-06	-11870.703	1.8536124	-3.5208883e-05	7.698971748352051
6	-804.2694	170.47157	-587.78864	-1303.9059	89.28571	-74.541794	39.466396	-20.201479	-201.99352	28000	0.023026012	136472.56	-0.0007444776	-12920.5	1.8143821	0.0003174522	8.886941194534302
7	-824.5726	190.14572	-602.0387	-1373.1241	93.29269	-101.55054	53.157333	-26.735674	-269.691	32000	-0.009246153	121863.516	-9.635906e-05	-12059.486	1.8492205	-6.0893624e-05	10.085449695587158
8	-743.30426	145.74042	-505.3854	-1252.1234	88.5814	-121.02036	59.487408	-20.974176	-312.4896	36000	0.010015536	100191.92	-0.00048315525	-8511.145	1.8461254	0.00016089813	11.27777886390686
9	-791.4232	141.60991	-605.22955	-1176.7046	91.17073	-149.13338	69.73797	-17.02775	-375.88004	40000	-0.014439634	95923.68	-0.00034955842	-8617.127	1.8630751	-0.00020865985	12.817449569702148
