Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	Time
0	-365.61472	145.61113	32.31357	-673.152	100.054054	0.13211112	0.12647733	0.8356413	-0.08707189	4000	0.0054552704	42944.68	-0.0025072228	-7248.089	1.8317797	0.0006657169	1.9471800327301025
1	-328.5254	163.21225	42.412247	-614.7918	103.5946	-18.823856	6.0769577	-6.1864576	-42.575657	8000	-0.013281811	29073.463	-0.00075893477	-11638.616	1.8392587	-0.00029132975	3.2208058834075928
2	-338.61414	153.15643	32.584793	-612.1693	102.3	-63.780624	10.065058	-18.625914	-68.20734	12000	-0.007215768	15689.751	-0.0008008033	-2813.6545	1.8482739	-0.0002488765	5.996663570404053
3	-357.93185	166.97037	-75.696205	-662.9273	99.28205	-82.53231	5.544094	-30.124372	-84.51428	16000	-0.007766798	18241.418	-0.0017017629	-3666.0505	1.812597	-0.00012456445	7.283091306686401
4	-346.54498	181.12997	-17.517138	-617.7539	98.90323	-88.0776	26.165497	-22.076115	-103.18056	20000	-0.0023790598	11915.656	-0.0006583333	-1850.7816	1.8227913	-0.00047184617	9.712740898132324
5	-372.33014	160.90303	-48.334248	-683.16345	111.55882	-103.03438	16.462072	-36.212345	-115.27975	24000	-0.012862701	12933.676	-0.0010936	-2291.3555	1.8240662	0.00034337785	11.009095191955566
6	-297.87198	166.33388	-54.500282	-589.68286	98.86842	-119.05889	17.877787	-22.439789	-128.6405	28000	-0.026140317	7419.242	-0.0010898896	-925.0198	1.8205454	0.00076834136	12.276702642440796
7	-242.13634	138.84093	-15.296614	-514.48035	105.5	-115.75661	22.919998	-27.407158	-137.47076	32000	-0.003617458	4019.7656	-0.0014628484	-288.74	1.8368952	6.6547276e-05	13.5482017993927
8	-306.0928	158.97429	-40.16812	-619.58813	106.20588	-121.131615	24.878649	-26.316797	-141.68341	36000	0.040734503	5644.638	-0.0009009149	-539.6042	1.8492086	0.00036594836	14.835328340530396
9	-187.66293	136.45323	10.353842	-505.66132	97.4359	-109.78613	32.506527	-16.940483	-148.92845	40000	0.0038608515	3170.8135	-0.0017653606	-636.5792	1.843528	-0.0007564618	16.396971702575684
