Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	Time
0	-839.259	230.9641	-609.5289	-1573.626	86.295456	1.0498143	0.34904554	2.1746807	0.4383726	4000	0.010336995	204347.48	-8.903444e-06	-27112.336	1.8369071	3.5039038e-06	1.602724552154541
1	-793.66	153.88289	-503.85895	-1200.9579	84.204544	-32.735085	0.9587494	-15.164001	-32.939835	8000	0.020951906	155055.47	-5.022157e-06	-141418.12	1.8592429	-5.143568e-06	2.798515796661377
2	-880.9584	212.15334	-607.81854	-1415.6465	96.73684	-373.43588	193.15758	-78.37686	-676.93604	12000	0.0021099523	17008.766	-1.2947246e-05	-6531.7153	1.8209687	7.779778e-06	4.000157356262207
3	-798.8883	155.24431	-576.0218	-1360.384	85.0	-429.10385	133.16959	-116.28352	-662.6326	16000	0.0036401146	8576.17	-4.3623382e-05	4961.3276	1.8482401	-7.324591e-06	5.180011510848999
4	-815.3497	227.47214	-463.5977	-1522.5375	85.54348	-314.47043	129.1316	-124.310585	-565.4943	20000	0.01924872	19456.828	-3.7007034e-05	38038.68	1.8479124	-1.9457815e-05	6.365490436553955
5	-774.3265	173.91626	-500.35184	-1478.5895	83.276596	-205.00533	83.14886	-134.47476	-408.85437	24000	0.014448237	49126.008	-0.000255147	-37598.516	1.8512821	-4.318119e-06	7.54135799407959
6	-811.7104	154.76991	-468.90967	-1200.7506	91.902435	-484.76776	138.6386	-138.06854	-754.46924	28000	0.015871808	14485.639	-6.12773e-05	-3624.9639	1.8117049	-3.8256358e-06	8.763772249221802
7	-788.16925	141.27681	-536.10376	-1296.6187	85.48889	-455.99902	165.71841	-141.95251	-795.637	32000	0.024431728	9195.803	-0.00013611466	-2012.2878	1.8461335	-1.1690765e-05	9.94649076461792
8	-803.77686	182.85858	-541.9146	-1353.642	90.71429	-447.79663	163.74817	-145.54568	-772.00977	36000	0.023700027	10236.987	-3.6191195e-05	775.31006	1.8427508	-7.336439e-07	11.150749444961548
9	-810.97784	161.30632	-498.42648	-1260.8511	88.441864	-453.09918	167.76758	-149.17291	-751.9559	40000	0.021558918	8108.552	-3.7506223e-05	176.92041	1.8593932	-5.563706e-06	12.491669654846191
