Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	Time
0	-395.93777	153.13885	-98.255905	-650.94354	88.63636	-0.32272387	0.13550615	-0.049143847	-0.8019147	4000	-0.011210367	49694.8	-6.906688e-06	nan	1.8237762	-7.9467884e-07	2.2157397270202637
1	-395.26505	160.42976	-1.5300981	-700.9099	96.8	nan	nan	nan	nan	8000	nan	nan	nan	nan	1.8209068	nan	3.878166913986206
2	-131.31279	34.999493	18.0992	-200.7803	68.42857	nan	nan	nan	nan	12000	nan	nan	nan	nan	nan	nan	5.283298492431641
3	-133.6315	46.066357	17.56301	-227.07893	70.87273	nan	nan	nan	nan	16000	nan	nan	nan	nan	nan	nan	6.724687099456787
4	-117.383415	56.375637	36.841667	-203.39635	74.37255	nan	nan	nan	nan	20000	nan	nan	nan	nan	nan	nan	8.128843307495117
5	-127.47176	54.315315	29.920908	-323.9884	71.37037	nan	nan	nan	nan	24000	nan	nan	nan	nan	nan	nan	9.532013654708862
6	-128.71301	52.484222	28.963533	-353.18362	70.111115	nan	nan	nan	nan	28000	nan	nan	nan	nan	nan	nan	10.925331592559814
7	-134.7299	36.848686	38.56722	-206.09427	69.781815	nan	nan	nan	nan	32000	nan	nan	nan	nan	nan	nan	12.139626026153564
8	-130.99266	48.384857	20.307545	-326.60004	69.1579	nan	nan	nan	nan	36000	nan	nan	nan	nan	nan	nan	13.337714195251465
9	-127.37306	37.031998	-8.546839	-212.42441	70.58182	nan	nan	nan	nan	40000	nan	nan	nan	nan	nan	nan	14.754181623458862
