Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	Time
0	-244.12009	153.87622	-72.86242	-694.40576	130.7931	-0.3657416	0.14764664	0.22349057	-0.96528214	4000	0.014945081	17654.645	-0.0012851844	-551.4734	1.8415371	0.00039306917	1.6308116912841797
1	-281.37604	285.7063	-21.685436	-1593.554	131.53572	-2.9658928	1.1710036	-1.5952425	-10.205507	8000	-0.01018706	29089.508	-0.0008678213	-1640.0195	1.8350408	0.00033459213	2.939622640609741
2	-308.22272	246.60828	17.565409	-1289.8485	144.125	-8.735002	3.3227396	-1.5760604	-28.305634	12000	-0.0057744235	23898.664	-0.0010640603	-2451.0452	1.8514377	0.00061068323	4.299378395080566
3	-257.75647	144.57016	-64.60357	-522.21875	126.38461	-15.288682	5.6145797	-5.0214496	-50.958622	16000	0.023609865	15223.943	-0.00032453798	-1607.8647	1.8403814	-2.3177345e-05	5.630835294723511
4	-249.1837	148.99356	18.237965	-627.14026	148.88461	-23.04322	7.5924206	-2.5800912	-80.20016	20000	0.010721117	11033.344	-0.00052186847	-1581.4556	1.8100172	1.1923348e-05	6.955129623413086
5	-239.2315	118.29546	-43.073917	-557.16425	129.74074	-32.208916	10.766294	-3.3586783	-103.64512	24000	-0.0061864927	12877.978	-0.00045171753	-2035.0671	1.8398223	9.780068e-05	8.256375074386597
6	-263.60654	118.4414	-48.81614	-445.58136	159.0	-39.812916	15.186424	-5.3619704	-136.77655	28000	0.024969913	8686.082	-0.00016774237	-1252.7858	1.7982274	-8.753566e-06	10.314117431640625
7	-334.84717	220.09401	-29.446062	-1024.3341	155.79167	-57.178993	19.194614	-10.034624	-198.6083	32000	0.018628702	12101.187	-0.00084284693	-3097.3916	1.8323805	0.00018792751	11.704559326171875
8	-305.69553	246.12743	-41.034653	-955.9807	184.75	-82.37759	37.229065	-9.95513	-226.10376	36000	0.0120383315	4743.129	-0.00046326593	-542.7645	1.8253819	-2.0579768e-05	13.353169918060303
9	-295.8322	185.75966	-68.769165	-1123.3732	122.6	-76.14911	23.490492	-12.325168	-230.61588	40000	-0.0049725324	10254.172	-0.0004908731	-2073.156	1.8428509	0.0001254928	14.882883548736572
