Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	Time
0	-152.31015	109.338	32.956337	-502.32822	88.61905	-0.14457192	0.649646	1.0362338	-2.773295	4000	-0.029196672	10035.638	-0.0023381794	-531.13184	1.8369071	0.00043863658	1.496450424194336
1	-148.06918	64.66757	-3.9431746	-306.63803	85.5814	-3.1310854	1.4255728	4.5744314	-8.439243	8000	-0.0013809614	7491.0522	-0.0007844772	-613.00903	1.8580956	9.4487e-05	2.4890646934509277
2	-179.23492	80.2897	-64.51144	-350.4672	84.71739	-7.433329	2.1809413	4.043653	-14.325327	12000	0.005119607	10339.575	-0.0010336232	-1262.1555	1.8195112	0.00014606444	3.4797751903533936
3	-157.68654	71.68872	-13.612489	-321.3989	82.108696	-14.44882	3.5766683	10.313373	-27.726934	16000	0.021873206	6877.277	-0.0011857152	-976.4411	1.8466642	0.00033359238	4.464979887008667
4	-169.0959	88.75506	-1.4428048	-395.02847	84.6	-21.804758	5.4594536	4.9288383	-44.887524	20000	-0.020869702	6996.832	-0.001233492	-1218.656	1.8464508	0.00059705507	5.460238218307495
5	-145.83234	73.89569	7.2820444	-384.7833	87.23256	-29.803122	6.8785806	15.400204	-66.10326	24000	0.011758771	4406.7354	-0.00023787841	-728.8685	1.8495343	5.732353e-05	6.4509594440460205
6	-135.74716	71.897224	29.08662	-351.00336	83.45652	-37.41197	6.61748	10.475979	-65.230804	28000	0.022493564	3439.6567	-0.00046186103	-460.32132	1.8099835	1.9136452e-05	7.44447135925293
7	-156.89317	101.58262	31.794708	-526.8966	89.02273	-43.93242	5.7155385	1.3440382	-67.46638	32000	-0.010606874	5391.6455	-0.00037284195	-749.7829	1.8446091	0.00025814792	8.44870376586914
8	-148.53027	67.826256	-58.73923	-368.1339	84.066666	-53.13645	6.608656	8.126558	-88.44903	36000	0.02728805	2649.5073	-0.00047594635	-411.24396	1.8411851	7.8837125e-05	9.441427230834961
9	-162.74152	77.57246	-81.22223	-434.66876	84.68889	-61.754013	6.851967	-37.791294	-101.18394	40000	-0.008529004	2640.3674	-0.00071391463	-540.6421	1.8580545	0.00032664256	10.86201524734497
