Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	Time
0	-151.35368	73.74231	-63.40352	-374.64493	88.28205	-0.007121586	0.3721297	0.7504054	-1.1610653	4000	0.0065700226	8062.7764	-0.0008834526	-309.05103	1.8369071	2.0255458e-05	1.772383689880371
1	-135.82475	95.64237	46.28452	-389.18375	93.075	-2.062355	0.6440134	1.1731125	-3.7240572	8000	-0.0032995301	7080.1313	-0.00095957494	-399.9165	1.8592356	0.00018851878	2.795991897583008
2	-147.65706	73.09772	25.408592	-335.38028	94.07317	-4.721069	1.0618101	-1.2874439	-7.687212	12000	-0.015682966	7367.297	-0.0008607749	-638.43994	1.82103	0.00028446713	3.818420886993408
3	-156.16702	78.52811	-61.47795	-394.14932	87.2619	-9.028715	0.95332235	0.041694388	-11.0676365	16000	0.0070992857	7608.0996	-0.00038150325	-686.1555	1.8483276	0.000104987615	4.838193893432617
4	-136.8435	58.88706	-11.735722	-275.16254	91.125	-13.040716	2.021738	-4.4891787	-16.52875	20000	-0.0011375248	4244.893	-0.00034566224	-289.75693	1.8480445	6.655619e-05	7.455321550369263
5	-149.16103	70.02211	-23.711153	-359.9775	96.30769	-17.000534	1.1208599	-6.2887697	-19.580524	24000	0.0012401342	4894.0776	-0.0007780334	-455.50812	1.8513687	0.00024171424	8.471105098724365
6	-146.16336	72.560104	-48.62117	-366.00452	88.34884	-20.933598	1.611369	-6.370838	-23.773684	28000	-0.00049580634	5031.0996	-0.00016452326	-454.8504	1.811688	-9.3509436e-05	9.505632162094116
7	-144.36035	69.25407	11.185052	-333.20135	93.04762	-24.93594	0.9878348	-14.727784	-27.31871	32000	-0.009882394	4672.663	-0.0003736429	-360.7052	1.8459847	0.000101887475	10.526033401489258
8	-158.99026	78.43229	-70.51847	-356.388	97.23684	-28.07723	2.0323343	-10.052418	-30.683432	36000	0.005251758	4466.425	-0.00055203214	-332.27032	1.842441	6.245938e-05	11.555800914764404
9	-144.10197	68.211975	-4.497912	-347.71002	92.21951	-31.507463	1.6718355	-5.8213463	-33.48718	40000	-0.008356929	3558.7725	-5.0056726e-05	-258.15536	1.8590958	2.0433874e-05	12.911420106887817
