Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	Time
0	-313.3458	191.17021	37.564186	-803.7001	152.69565	-0.43358287	0.21171941	0.019179866	-1.0644304	4000	0.00089427456	22356.105	-4.0823594e-05	nan	1.841537	-3.2215867e-06	1.8411040306091309
1	-284.32098	224.898	-66.744286	-1165.1162	160.73914	nan	nan	nan	nan	8000	nan	nan	nan	nan	1.8350413	nan	3.48628306388855
2	-126.396645	28.988472	-0.99602497	-174.47246	67.73214	nan	nan	nan	nan	12000	nan	nan	nan	nan	nan	nan	4.352527141571045
3	-133.32068	25.552364	-79.28443	-193.8186	68.534485	nan	nan	nan	nan	16000	nan	nan	nan	nan	nan	nan	5.2338643074035645
4	-142.22092	38.793095	-46.824795	-335.54214	68.46429	nan	nan	nan	nan	20000	nan	nan	nan	nan	nan	nan	6.099228858947754
5	-126.9179	39.422447	-4.225808	-201.89723	65.35	nan	nan	nan	nan	24000	nan	nan	nan	nan	nan	nan	6.966721773147583
6	-133.74942	42.251846	-8.65497	-290.8292	71.01818	nan	nan	nan	nan	28000	nan	nan	nan	nan	nan	nan	7.836392402648926
7	-121.09112	47.30285	12.9533	-288.03012	73.23077	nan	nan	nan	nan	32000	nan	nan	nan	nan	nan	nan	8.703214406967163
8	-130.02402	49.902023	26.76235	-342.97943	71.72222	nan	nan	nan	nan	36000	nan	nan	nan	nan	nan	nan	9.577831268310547
9	-128.95137	32.929794	-12.15426	-206.59988	67.155174	nan	nan	nan	nan	40000	nan	nan	nan	nan	nan	nan	10.696754217147827
