Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	Time
0	-152.08531	95.727974	23.157356	-469.7618	94.075	-0.026179016	0.29739866	0.5596795	-1.0121635	4000	-0.016620167	9283.545	-2.9759482e-05	-6389.7197	1.8369071	-7.117152e-06	1.399449348449707
1	-156.80896	87.19669	-72.58696	-396.2492	88.57143	-79.890625	2.857693	4.378466	-85.54596	8000	-0.018939622	1974.4531	-1.1891127e-05	-138.08344	1.8592083	-1.6607344e-06	2.4026265144348145
2	-154.36299	87.06546	-16.405344	-469.73215	93.414635	-85.11755	4.1539674	-36.892357	-90.388245	12000	0.0025075004	1818.6646	-1.4441088e-05	-87.623795	1.82089	-2.6816128e-06	3.4005980491638184
3	-192.54831	103.662056	48.188847	-397.6731	94.5	-82.66502	5.91744	-52.01252	-92.8443	16000	0.014869556	3181.218	-1.5962869e-05	-594.4537	1.8481543	1.7815679e-06	4.40976881980896
4	-178.36546	100.074135	-52.98469	-454.3681	93.425	-105.456795	5.612091	-90.34014	-120.17287	20000	-0.029638171	2316.364	-1.5802681e-05	-295.3646	1.8478477	5.1852467e-06	5.41713547706604
5	-171.21559	122.477394	30.653719	-571.9492	96.79487	-94.95056	10.387855	-41.98291	-119.37928	24000	0.0030453503	4228.0693	-2.8414652e-06	-370.98926	1.8511565	1.4572738e-06	6.430710077285767
6	-164.7618	89.02664	-3.0931253	-390.59857	96.725	-89.08524	11.296583	-32.219646	-120.67851	28000	-0.035661653	1736.9951	-2.7135015e-05	-233.1998	1.8115658	5.4762213e-06	7.442723274230957
7	-205.21358	105.981476	-56.03062	-404.1158	98.552635	-89.90382	12.368546	-25.622704	-113.184555	32000	0.00063509494	2480.3306	-3.1650066e-05	-481.5426	1.8459256	7.665664e-06	8.457608699798584
8	-174.36333	109.0736	3.9495337	-462.439	95.0	-102.645676	15.214948	-69.47974	-133.74611	36000	0.021512538	2535.296	-1.7754734e-05	-374.07483	1.8425076	-1.3116301e-06	9.464802026748657
9	-145.95033	82.42655	-41.554516	-361.00308	86.318184	-87.58809	15.62577	-61.56678	-128.81393	40000	0.0131921545	1156.6213	-4.484877e-05	-220.37547	1.8591393	9.465367e-06	10.625609159469604
