Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	Time
0	-131.72418	58.734566	-44.751522	-337.57593	89.5814	0.01564688	0.39065805	0.9993077	-1.3021792	4000	-0.015243612	6647.616	-3.0240044e-06	-5229.827	1.8369071	-9.1339655e-07	1.5266051292419434
1	-155.4393	93.15305	-49.13371	-427.175	93.45	-65.24603	8.250464	21.689695	-85.19312	8000	0.002358809	2827.2048	-1.5478581e-05	-619.04596	1.8592107	-3.9761067e-06	2.530036449432373
2	-160.79156	88.93599	34.02662	-410.8417	86.72727	-81.72174	7.586087	-38.638676	-115.43182	12000	0.015944168	2050.0574	-1.3491139e-05	-448.82104	1.8209192	-7.208139e-07	3.522429943084717
3	-146.24754	93.27566	-12.714956	-512.94415	89.27907	-85.04497	12.088521	-32.484398	-124.98347	16000	0.011532873	2098.9875	-4.0970743e-05	-712.74976	1.8482143	5.9805957e-06	4.5228002071380615
4	-166.13611	88.76915	-72.244576	-441.13168	92.775	-81.34058	18.966204	-58.585926	-142.87975	20000	-0.008431524	2412.0852	-2.454035e-05	-556.44385	1.847902	4.091412e-06	5.530309438705444
5	-160.3011	80.323425	-68.17439	-393.376	91.5	-94.86973	23.346216	-69.71571	-151.70459	24000	-0.010064557	845.6244	-7.4973796e-05	-124.65618	1.851249	1.7299953e-06	6.522800922393799
6	-150.61458	98.02561	48.57625	-468.04633	112.82353	-93.717705	23.652716	-58.648956	-144.91512	28000	0.022122025	5986.489	-2.1655113e-05	-3936.2463	1.8116455	4.8569436e-06	9.12258529663086
7	-180.46237	91.92606	-72.39662	-471.7102	91.690475	-70.707466	30.72182	73.04659	-124.15139	32000	0.0047799796	2477.0383	-3.927201e-05	-1605.9752	1.8460934	1.4687315e-05	10.1300528049469
8	-124.814186	73.497444	77.04707	-359.74988	84.925	-84.38041	26.29771	-31.183277	-161.29305	36000	-0.005340636	2280.0186	-2.1770597e-05	-1003.9839	1.8427026	7.041099e-07	11.60120940208435
9	-157.25922	67.836235	55.55338	-332.50314	87.295456	-73.10861	20.933105	-12.085145	-142.99979	40000	-0.020376205	1431.5121	-5.13196e-05	-577.27985	1.859321	9.878695e-06	12.843260765075684
