Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	Time
0	0.0	0.0	0.0	0.0	1000.0	105.29325	17.05663	138.49437	29.92199	4000	0.0	9701.697	0.0	-2530.5586	0.0	0.0	2.447870969772339
1	0.0	0.0	0.0	0.0	1000.0	90.715645	16.986103	124.875374	15.741906	8000	0.0	7283.8633	0.0	-2316.6733	0.0	0.0	4.210089921951294
2	0.0	0.0	0.0	0.0	1000.0	75.148125	16.878193	110.14635	1.0203989	12000	0.0	5062.335	0.0	-1872.9099	0.0	0.0	5.983962774276733
3	0.0	0.0	0.0	0.0	1000.0	59.11745	16.780355	95.18138	-13.754882	16000	0.0	3282.706	0.0	-1434.9918	0.0	0.0	7.811075448989868
4	0.0	0.0	0.0	0.0	1000.0	43.50267	16.680511	80.6439	-27.824541	20000	0.0	1885.2245	0.0	-992.5609	0.0	0.0	9.591601133346558
5	0.0	0.0	0.0	0.0	1000.0	27.851536	16.464155	64.76702	-41.741993	24000	0.0	970.36694	0.0	-580.27405	0.0	0.0	11.362417697906494
6	0.0	0.0	0.0	0.0	1000.0	11.364812	16.233881	48.20485	-55.70469	28000	0.0	360.8053	0.0	-98.96428	0.0	0.0	13.154654026031494
7	0.0	0.0	0.0	0.0	1000.0	3.229499	15.389228	37.175446	-61.018074	32000	0.0	285.81653	0.0	-45.192028	0.0	0.0	14.948370933532715
8	0.0	0.0	0.0	0.0	1000.0	-1.1309835	14.442487	29.890114	-62.54049	36000	0.0	235.13654	0.0	-30.556164	0.0	0.0	16.711702585220337
9	0.0	0.0	0.0	0.0	1000.0	-0.7331247	13.463472	26.950188	-58.912403	40000	0.0	188.28285	0.0	-27.70655	0.0	0.0	18.867499113082886
