Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	Time
0	0.0	0.0	0.0	0.0	1000.0	91.69974	15.073551	121.19703	24.153942	4000	0.0	7285.7197	0.0	-1936.777	0.0	0.0	2.4862735271453857
1	0.0	0.0	0.0	0.0	1000.0	78.98921	15.248625	108.06628	11.9294195	8000	0.0	5386.81	0.0	-1749.4968	0.0	0.0	4.328814268112183
2	0.0	0.0	0.0	0.0	1000.0	64.93176	15.224184	95.72565	-1.2797269	12000	0.0	3759.0693	0.0	-1420.7377	0.0	0.0	6.171732425689697
3	0.0	0.0	0.0	0.0	1000.0	50.8476	15.19711	82.19853	-14.022487	16000	0.0	2381.9424	0.0	-1072.2766	0.0	0.0	8.13285517692566
4	0.0	0.0	0.0	0.0	1000.0	37.01983	14.826519	69.15866	-26.654774	20000	0.0	1400.2207	0.0	-758.85724	0.0	0.0	10.25456714630127
5	0.0	0.0	0.0	0.0	1000.0	22.646183	14.735858	55.549812	-39.35105	24000	0.0	615.42664	0.0	-343.4414	0.0	0.0	12.352483987808228
6	0.0	0.0	0.0	0.0	1000.0	6.5232697	14.586401	38.93016	-53.458817	28000	0.0	260.64594	0.0	-59.736275	0.0	0.0	14.43239712715149
7	0.0	0.0	0.0	0.0	1000.0	0.2797916	13.732635	30.312546	-56.347214	32000	0.0	204.77328	0.0	-26.632698	0.0	0.0	16.559715509414673
8	0.0	0.0	0.0	0.0	1000.0	0.44299725	12.821938	26.685797	-54.39452	36000	0.0	193.86542	0.0	-27.954361	0.0	0.0	18.55357003211975
9	0.0	0.0	0.0	0.0	1000.0	-2.2227662	11.956499	21.548433	-54.329376	40000	0.0	161.88783	0.0	-25.694204	0.0	0.0	20.675044536590576
