Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	Time
0	0.0	0.0	0.0	0.0	837.0	0.6956144	0.28128198	1.7316469	-0.27825648	4000	0.0010578223	0.4914137	-2.2398308e-06	-0.14433578	2.8196373	-1.0775327e-06	2.4632644653320312
1	0.0	0.0	0.0	0.0	807.25	0.6095802	0.25130817	1.5570437	-0.1551866	8000	0.0077583063	0.3931648	-1.8442515e-06	-0.122042984	2.8042164	1.2750626e-06	4.27363657951355
2	0.0	0.0	0.0	0.0	728.75	0.4747018	0.22986205	1.4706815	-0.14877681	12000	0.0019040629	0.24590103	-1.1529773e-06	-0.087355115	2.8135602	-6.8858265e-07	6.052722454071045
3	0.0	0.0	0.0	0.0	681.4	0.3572635	0.22786175	1.4090223	-0.42136374	16000	-0.00617845	0.15494908	-1.4537945e-06	-0.06190878	2.8185956	2.720058e-07	7.84589147567749
4	0.0	0.0	0.0	0.0	839.25	0.24631515	0.2109728	1.3808684	-0.37948143	20000	0.0039096605	0.09914671	-2.2081658e-06	-0.038103323	2.8090885	4.993081e-07	9.645854711532593
5	0.0	0.0	0.0	0.0	756.8	0.17540509	0.20081969	1.1499517	-0.41675493	24000	-0.0059950687	0.070649765	-1.6503036e-06	-0.026369136	2.811654	4.6390298e-07	11.428504228591919
6	0.0	0.0	0.0	0.0	764.25	0.072327085	0.18147899	0.85442996	-0.5831473	28000	-0.0030021034	0.03790982	-2.2221357e-06	-0.012718188	2.8009973	9.4348195e-07	13.215001106262207
7	0.0	0.0	0.0	0.0	904.5	0.018591534	0.16376778	0.7303915	-0.52190375	32000	0.008111585	0.026701467	-2.4633482e-06	-0.0071724905	2.8076086	-1.2290477e-07	14.980169773101807
8	0.0	0.0	0.0	0.0	965.0	-0.0066031935	0.1358295	0.57516277	-0.46371204	36000	-0.0008511301	0.018753115	-7.1548857e-07	-0.0045954613	2.808343	-3.893077e-07	16.70983099937439
9	0.0	0.0	0.0	0.0	753.25	0.025635753	0.13032326	0.8195101	-0.4837089	40000	-0.0007157549	0.017716195	-1.276625e-06	-0.0041889176	2.8164268	5.092919e-07	18.800357580184937
