Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	Time
0	0.0	0.0	0.0	0.0	779.0	1.0532012	0.43670484	2.6907678	-0.68911254	4000	0.008576419	1.1345065	-2.6691705e-06	-0.29569557	2.73061	4.274845e-07	2.4021074771881104
1	0.0	0.0	0.0	0.0	826.5	0.8811967	0.4187578	2.4736195	-0.40697524	8000	0.012669206	0.8560917	-2.3795292e-06	-0.27916896	2.7210007	1.7708242e-06	4.18272852897644
2	0.0	0.0	0.0	0.0	639.6	0.7136419	0.37402868	2.3870292	-0.4221135	12000	-0.0074549345	0.60748506	-3.0435622e-06	-0.2210851	2.7349114	-4.7719476e-07	5.983138084411621
3	0.0	0.0	0.0	0.0	895.25	0.49065566	0.37857348	2.013632	-0.91292244	16000	0.0005759597	0.3469186	-4.4880435e-06	-0.12790133	2.7265794	1.954496e-06	7.734191179275513
4	0.0	0.0	0.0	0.0	886.75	0.39495957	0.3374647	2.0664356	-0.7669753	20000	-0.01680277	0.2730825	-2.1429732e-06	-0.10224553	2.7465143	1.5950798e-06	9.521076679229736
5	0.0	0.0	0.0	0.0	840.25	0.27579543	0.33640158	1.8903105	-0.79296356	24000	-0.0067537623	0.18245694	-3.0820956e-06	-0.07592724	2.7156475	-5.2767996e-07	11.344377279281616
6	0.0	0.0	0.0	0.0	794.5	0.11961972	0.29369128	1.7312334	-0.8599101	28000	-0.014146823	0.09994418	-4.4987537e-06	-0.028804386	2.7081115	-7.876753e-08	13.099512577056885
7	0.0	0.0	0.0	0.0	781.4	-0.0030660906	0.2685365	1.3344343	-0.84271336	32000	0.0064786896	0.083586305	-4.4530025e-06	-0.017780118	2.7421892	1.5026332e-06	14.8846595287323
8	0.0	0.0	0.0	0.0	774.0	0.04224726	0.23567891	1.0623204	-0.7796518	36000	0.016052451	0.0584746	-3.4829136e-06	-0.014677176	2.7436252	-2.6017423e-07	16.667552709579468
9	0.0	0.0	0.0	0.0	710.25	-0.0026806192	0.20770767	0.81549555	-0.7819096	40000	0.021011114	0.04768277	-3.46452e-06	-0.01081147	2.7401257	7.5078015e-07	18.784477710723877
