Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	Time
0	0.0	0.0	0.0	0.0	189.0	-5.851777	1.4693933	-0.6276578	-9.2479	4000	-0.0898415	32.28189	-0.008243588	-31.065262	0.5522776	0.016577765	1.9078567028045654
1	0.0	0.0	0.0	0.0	243.0	-0.5022835	0.055795893	0.076136336	-1.7277248	8000	-0.058691137	0.23090667	-0.0010293397	-0.22170606	0.39320004	0.0073483917	3.431614875793457
2	0.0	0.0	0.0	0.0	198.11111	-0.03545621	0.0	-0.03545621	-0.03545621	12000	-0.078648955	0.0011127046	-0.0035122652	-0.0010699793	0.53553945	0.012393582	4.98235297203064
3	0.0	0.0	0.0	0.0	330.66666	-0.0025806432	4.656613e-10	-0.0025806436	-0.0025806436	16000	-0.08995092	5.674812e-06	-0.005121162	-5.411353e-06	0.6549307	0.01590107	6.550332307815552
4	0.0	0.0	0.0	0.0	597.8333	-0.00023770146	0.0	-0.00023770146	-0.00023770146	20000	-0.0943329	4.8090563e-08	-0.0018696338	-4.5857217e-08	0.7170115	0.0053996304	8.07890772819519
5	0.0	0.0	0.0	0.0	274.63635	-2.3539178e-05	0.0	-2.3539178e-05	-2.3539178e-05	24000	-0.08356355	5.0224647e-10	-0.0032074861	-4.837202e-10	0.58928895	0.0021933806	9.607276201248169
6	0.0	0.0	0.0	0.0	520.8	-1.4360994e-06	0.0	-1.4360994e-06	-1.4360994e-06	28000	-0.07302426	1.4615964e-12	-0.0027065016	-1.3603092e-12	0.71141505	0.011045679	11.111366271972656
7	0.0	0.0	0.0	0.0	276.1	-4.0233135e-07	0.0	-4.0233135e-07	-4.0233135e-07	32000	-0.07862517	6.831633e-14	-0.0013558189	0.0	0.5454996	0.0068309763	12.681990385055542
8	0.0	0.0	0.0	0.0	680.4	-4.0233135e-07	0.0	-4.0233135e-07	-4.0233135e-07	36000	-0.04658874	6.559102e-14	-9.78224e-05	0.0	0.6694772	0.0036185118	14.22753119468689
9	0.0	0.0	0.0	0.0	352.0	-4.0233135e-07	0.0	-4.0233135e-07	-4.0233135e-07	40000	-0.06753468	6.559287e-14	-0.001416795	0.0	0.6355431	0.004687099	15.879916429519653
