Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	Time
0	0.0	0.0	0.0	0.0	1000.0	78.11125	20.74598	128.76474	23.954388	4000	0.0	5643.8164	0.0	-5299.5933	0.0	0.0	2.023851156234741
1	0.0	0.0	0.0	0.0	1000.0	8.572817	8.251495	29.745659	-12.767854	8000	0.0	138.62457	0.0	-115.619484	0.0	0.0	3.541405439376831
2	0.0	0.0	0.0	0.0	1000.0	0.6858132	3.701113	10.6893635	-10.491049	12000	0.0	14.056565	0.0	-8.635956	0.0	0.0	5.048933982849121
3	0.0	0.0	0.0	0.0	1000.0	0.40340337	2.2615705	8.396893	-6.4631877	16000	0.0	5.18054	0.0	-2.5171866	0.0	0.0	6.5799970626831055
4	0.0	0.0	0.0	0.0	1000.0	0.04990523	1.6382812	8.370559	-5.566548	20000	0.0	2.5605097	0.0	-0.9463136	0.0	0.0	8.082168817520142
5	0.0	0.0	0.0	0.0	1000.0	0.17240341	1.3294673	7.6770816	-5.1135297	24000	0.0	1.7773583	0.0	-0.5402523	0.0	0.0	9.61889386177063
6	0.0	0.0	0.0	0.0	1000.0	0.0065727998	1.1099629	5.762901	-4.861012	28000	0.0	1.2065029	0.0	-0.29830706	0.0	0.0	11.132922887802124
7	0.0	0.0	0.0	0.0	1000.0	0.015019417	0.95314616	2.656962	-3.8686233	32000	0.0	0.8466823	0.0	-0.18462086	0.0	0.0	12.644577980041504
8	0.0	0.0	0.0	0.0	1000.0	0.07590834	0.8600843	6.7914057	-3.9229114	36000	0.0	0.7289128	0.0	-0.15392424	0.0	0.0	14.15607237815857
9	0.0	0.0	0.0	0.0	1000.0	0.026435234	0.7787358	6.290346	-3.2158184	40000	0.0	0.52554977	0.0	-0.115801215	0.0	0.0	15.845480918884277
