Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	Time
0	0.0	0.0	0.0	0.0	887.75	0.7177843	0.2873184	1.7145799	-0.2782375	4000	0.0051799864	0.5238993	-0.0038324576	-0.48024368	2.8088388	0.001980113	2.212803840637207
1	0.0	0.0	0.0	0.0	788.5	0.06947564	0.028194008	0.20844287	-0.0926283	8000	0.007417946	0.0049596718	-0.0031093867	-0.004749979	2.8124242	0.0009934003	3.9301676750183105
2	0.0	0.0	0.0	0.0	767.75	0.0064066686	0.0076243314	0.15645579	-0.043941714	12000	-0.003797859	9.351947e-05	-0.00319883	-7.016119e-05	2.8114126	0.0022861091	5.6379921436309814
3	0.0	0.0	0.0	0.0	895.5	0.00033355269	0.003140725	0.023745138	-0.07060483	16000	0.0052545276	1.0065254e-05	-0.0023725939	-3.3617011e-06	2.812437	0.000699018	7.389939546585083
4	0.0	0.0	0.0	0.0	708.25	0.0003400973	0.0032367017	0.043685343	-0.07042447	20000	0.0049137585	1.065263e-05	-0.0014847238	-2.975314e-06	2.8174193	0.0020170256	9.121493101119995
5	0.0	0.0	0.0	0.0	844.0	-8.6245076e-05	0.003474202	0.12864153	-0.08872579	24000	-0.00846573	1.2091116e-05	-0.001149625	-3.4310492e-06	2.8175058	0.00074503815	10.837108135223389
6	0.0	0.0	0.0	0.0	795.75	6.659718e-05	0.0022137035	0.01679276	-0.025409825	28000	-0.003704843	5.5541386e-06	-0.0020102833	-6.728743e-07	2.8129425	0.0015199693	12.548480987548828
7	0.0	0.0	0.0	0.0	661.6	1.9266565e-05	0.0032489887	0.14364289	-0.06557941	32000	0.0012261402	1.0560697e-05	-0.00093186786	-1.6734574e-06	2.8179045	0.0008859218	14.290637254714966
8	0.0	0.0	0.0	0.0	918.25	0.00012468536	0.004141653	0.1383997	-0.025550967	36000	0.0020173276	1.7167327e-05	-0.00037930766	-1.1181043e-05	2.8068445	0.0013758743	16.038090705871582
9	0.0	0.0	0.0	0.0	685.8	-6.0908125e-05	0.0024192273	0.01677223	-0.077690445	40000	-0.00036846288	5.9201952e-06	-0.0019145561	-2.8587256e-06	2.81074	0.00015419943	17.98555016517639
