Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	Time
0	0.0	0.0	0.0	0.0	1000.0	73.39923	19.63331	122.05745	24.395172	4000	0.0	4796.5225	0.0	-4419.818	0.0	0.0	1.9587817192077637
1	0.0	0.0	0.0	0.0	1000.0	9.848953	6.1711745	25.309063	-7.5365334	8000	0.0	125.9487	0.0	-118.6212	0.0	0.0	3.517476797103882
2	0.0	0.0	0.0	0.0	1000.0	0.5196992	2.0655441	9.96167	-8.155121	12000	0.0	4.322227	0.0	-2.6841078	0.0	0.0	5.027360677719116
3	0.0	0.0	0.0	0.0	1000.0	0.08080948	1.3329258	4.123005	-6.4909706	16000	0.0	1.557154	0.0	-0.70895714	0.0	0.0	6.567116737365723
4	0.0	0.0	0.0	0.0	1000.0	0.15010265	1.0296849	9.805806	-4.9280424	20000	0.0	0.88985336	0.0	-0.3522846	0.0	0.0	8.07700777053833
5	0.0	0.0	0.0	0.0	1000.0	0.15436691	0.82869196	7.675892	-4.368866	24000	0.0	0.5357022	0.0	-0.20478898	0.0	0.0	9.619560480117798
6	0.0	0.0	0.0	0.0	1000.0	0.17450278	0.6694765	6.2538843	-3.3231688	28000	0.0	0.33698618	0.0	-0.13113792	0.0	0.0	11.140735387802124
7	0.0	0.0	0.0	0.0	1000.0	0.1356113	0.53121823	5.258753	-3.0076885	32000	0.0	0.21169192	0.0	-0.08546519	0.0	0.0	12.657784938812256
8	0.0	0.0	0.0	0.0	1000.0	0.09378394	0.41690138	4.2878222	-2.892762	36000	0.0	0.12580378	0.0	-0.05069987	0.0	0.0	14.177918195724487
9	0.0	0.0	0.0	0.0	1000.0	0.08265443	0.32609206	1.4728162	-2.6091425	40000	0.0	0.073122665	0.0	-0.028488785	0.0	0.0	15.859142303466797
