Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	Time
0	0.0	0.0	0.0	0.0	593.6	-0.31258485	0.50546503	1.2043183	-1.5761901	4000	-0.05743722	0.34978944	-0.003358028	-0.31547093	2.2973232	0.0025953394	1.9724462032318115
1	0.0	0.0	0.0	0.0	540.8333	-0.05091633	0.16383487	1.3165247	-0.8666778	8000	0.019605406	0.030768383	-3.5353994e-05	-0.025148762	2.3270416	0.0016275892	3.487233877182007
2	0.0	0.0	0.0	0.0	662.0	0.0022535105	0.06553598	0.55281675	-0.92776364	12000	-0.0046832818	0.0042957305	-0.0018561266	-0.0026610184	2.3829455	0.00077419943	5.002195119857788
3	0.0	0.0	0.0	0.0	515.75	-2.1820426e-05	0.065307766	0.53576195	-0.53562677	16000	-0.02111398	0.004263698	0.0004235832	-0.003041768	2.319943	0.0011805231	6.504554986953735
4	0.0	0.0	0.0	0.0	528.3333	0.00034391356	0.041354038	0.67509466	-0.4989772	20000	0.04225366	0.0017131781	-0.0008612395	-0.0012920649	2.2732387	0.002035939	8.017876625061035
5	0.0	0.0	0.0	0.0	398.375	0.00045139116	0.026630538	0.5109712	-0.49186677	24000	0.021848688	0.0007095929	-0.0014354964	-0.00059789704	2.2771637	0.0010413753	9.550743579864502
6	0.0	0.0	0.0	0.0	657.0	-0.0056552254	0.05804794	0.55593693	-0.5155879	28000	-0.026964795	0.0034228999	-0.0007994609	-0.0030760374	2.3646498	0.0015854179	11.064932584762573
7	0.0	0.0	0.0	0.0	776.25	-0.0010740042	0.034394026	0.6491725	-0.5007367	32000	-0.016706066	0.0011830516	7.4668555e-05	-0.0008729169	2.2727728	0.0015621446	12.556962490081787
8	0.0	0.0	0.0	0.0	420.5	-0.0006145257	0.0121090505	0.43034145	-0.2103214	36000	-0.02601834	0.00014759364	-0.0014660195	-8.123227e-05	2.3077793	0.00024311492	14.085299491882324
9	0.0	0.0	0.0	0.0	558.2	0.00024237411	0.015447743	0.48331675	-0.4288776	40000	-0.006064046	0.00023879556	-0.00068628066	-0.00022173475	2.3272266	-2.6119204e-05	15.86840534210205
