Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	Time
0	0.0	0.0	0.0	0.0	1000.0	93.93878	15.371608	123.86519	25.686235	4000	0.0	7591.9917	0.0	-7135.214	0.0	0.0	2.246185779571533
1	0.0	0.0	0.0	0.0	1000.0	10.112809	2.8568718	17.596544	-10.379543	8000	0.0	95.86271	0.0	-91.27001	0.0	0.0	4.003978252410889
2	0.0	0.0	0.0	0.0	1000.0	1.0382175	1.1219949	4.062371	-5.145891	12000	0.0	2.0539215	0.0	-1.3198264	0.0	0.0	5.739547967910767
3	0.0	0.0	0.0	0.0	1000.0	0.15765914	0.85661095	2.7195678	-4.2858734	16000	0.0	0.7020875	0.0	-0.18256712	0.0	0.0	7.50017786026001
4	0.0	0.0	0.0	0.0	1000.0	0.062338218	0.7493085	2.1947193	-3.6339865	20000	0.0	0.52266014	0.0	-0.12682712	0.0	0.0	9.22964334487915
5	0.0	0.0	0.0	0.0	1000.0	0.1166537	0.6523106	2.1146033	-3.254318	24000	0.0	0.40391946	0.0	-0.08987601	0.0	0.0	11.017111539840698
6	0.0	0.0	0.0	0.0	1000.0	0.042753685	0.5864745	1.9074221	-2.9032307	28000	0.0	0.3181696	0.0	-0.06977229	0.0	0.0	12.790764808654785
7	0.0	0.0	0.0	0.0	1000.0	0.05449908	0.52142286	1.6982096	-2.6024108	32000	0.0	0.2521739	0.0	-0.050231084	0.0	0.0	14.552969455718994
8	0.0	0.0	0.0	0.0	1000.0	0.07921398	0.4749614	1.6759086	-2.3364215	36000	0.0	0.19893993	0.0	-0.04202465	0.0	0.0	16.29600167274475
9	0.0	0.0	0.0	0.0	1000.0	0.06857286	0.4172883	1.5116695	-2.0307784	40000	0.0	0.1572425	0.0	-0.034163985	0.0	0.0	18.28582239151001
