Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	Time
0	-101.95826	15.417492	-81.14878	-117.65385	432.2	-0.062676	0.2664168	1.0974646	-0.9980771	4000	0.0022456497	332.878	-9.946525e-07	-0.054858208	3.669034	-8.046632e-09	1.571279525756836
1	-108.463806	13.579646	-83.775986	-121.17355	298.5	-0.043544296	0.29611623	1.0966374	-1.0058714	8000	0.010310799	678.64594	-5.5134296e-07	-0.11945057	3.6881118	2.0205974e-08	2.760634183883667
2	-125.69118	25.094995	-81.843414	-171.44376	313.5	-0.02736776	0.30013904	1.0907315	-1.0422528	12000	0.011811942	934.5111	-7.1153045e-07	-0.20349693	3.6701043	3.9622185e-07	3.9549968242645264
3	-118.43469	15.94611	-83.1087	-165.76697	169.21428	-0.03724421	0.30565307	1.1893054	-0.98151374	16000	-0.004262835	1454.4016	-5.438924e-07	-0.36693287	3.6635966	1.207292e-07	5.166913270950317
4	-124.74461	24.969498	-109.329254	-191.17348	185.73334	-0.06968593	0.31531492	1.1785431	-1.05894	20000	-0.02557993	1662.3203	-1.296401e-06	-0.46336365	3.694071	7.519125e-08	6.358254909515381
5	-121.16345	21.765839	-108.044945	-187.51045	143.90909	-0.06498597	0.3021341	1.0483944	-1.4428451	24000	0.010810941	1162.8895	-6.92904e-07	-0.26527405	3.6740298	-1.2901425e-07	7.539839029312134
6	-116.58919	9.440564	-106.42256	-160.0933	87.0	0.07326703	0.33576763	1.6104604	-1.2745688	28000	0.0065329373	3087.706	-5.9604645e-07	-1.3574524	3.663621	-2.1862984e-07	8.733766794204712
7	-114.10763	15.8738985	-77.51763	-169.5142	145.3158	-0.032898583	0.32667652	1.0093801	-1.2616061	32000	-0.011248529	1860.6152	-5.066395e-07	-0.5445986	3.687922	-4.127621e-08	9.930802822113037
8	-114.591255	17.779116	-79.22067	-168.63518	165.14285	-0.13244355	0.29228395	1.0500324	-1.3431163	36000	0.007867187	1277.7211	-1.1846423e-06	-0.2723379	3.6759818	3.2413004e-07	11.136971235275269
9	-118.871376	27.019405	-78.52498	-174.90552	324.41666	-0.10447769	0.30282906	1.1722336	-1.1312828	40000	-0.039340705	1138.9016	-6.7055225e-07	-0.25340843	3.642992	-8.1449755e-08	12.615532159805298
