Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	Time
0	-74.97606	1.570273	-73.409775	-77.58975	1000.0	0.07895302	0.06168633	0.46681476	-0.104040325	4000	-0.0175381	46.99168	-3.6135316e-07	-0.017518997	3.669034	-6.562471e-08	1.6032130718231201
1	-74.128914	2.2561822	-71.220985	-77.39276	1000.0	0.08374246	0.06325536	0.46550742	-0.10616331	8000	0.04488235	46.326714	-3.3341348e-07	-0.018943787	3.6881118	-1.15573414e-07	2.7881722450256348
2	-74.11043	2.9974651	-70.18781	-77.69173	1000.0	0.07425267	0.06372703	0.46411997	-0.11402564	12000	-0.04379385	45.448605	-3.427267e-07	-0.019367218	3.6701045	8.6575746e-08	3.958466053009033
3	-74.634155	1.5350451	-72.524864	-76.306725	1000.0	0.07892716	0.062091395	0.46300825	-0.14309707	16000	-0.0064242	46.351307	-7.003546e-07	-0.02163887	3.6635966	1.4162063e-07	5.128946781158447
4	-74.165886	3.7352524	-67.94882	-77.73239	1000.0	0.08377016	0.06506122	0.467347	-0.11326831	20000	-0.038468823	47.64863	-2.1606684e-07	-0.023842812	3.6940713	1.11639494e-07	6.3171727657318115
5	-74.96212	2.212511	-72.454605	-78.529594	1000.0	0.07882058	0.06463349	0.4758822	-0.1834823	24000	-0.009777784	47.40979	-2.8871e-07	-0.024518013	3.6740303	2.2053719e-09	7.497539043426514
6	-76.44142	1.3256587	-74.38104	-78.02719	1000.0	0.071477	0.0644672	0.4795169	-0.12499227	28000	-0.017832376	47.324814	-4.718895e-07	-0.024522781	3.6636207	-2.0968915e-07	8.673546314239502
7	-74.44783	2.5880196	-70.446556	-76.797646	1000.0	0.079176016	0.06471585	0.46010184	-0.12123528	32000	-0.013987735	45.96502	-6.686896e-07	-0.02606678	3.6879218	-2.593398e-07	9.83870792388916
8	-76.30253	0.7854343	-75.04677	-77.13856	1000.0	0.072878115	0.06318078	0.45487624	-0.11756223	36000	-0.005491808	47.407608	-7.4505806e-07	-0.02742958	3.6759815	7.161498e-08	11.00214147567749
9	-75.40842	2.953626	-71.3352	-79.44564	1000.0	0.06891958	0.064951755	0.6254705	-0.141323	40000	-0.019706056	47.5178	-2.719462e-07	-0.027794838	3.6429915	-2.3123621e-07	12.4673593044281
