Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	Time
0	-118.228935	11.397331	-107.73879	-169.03462	107.875	0.08536987	0.25158706	0.89180076	-0.7019732	4000	0.018276691	2800.5022	-2.8871e-07	-0.15325928	3.669034	9.0241436e-08	1.603750467300415
1	-118.77015	14.824267	-108.21509	-179.42975	120.0	0.022312218	0.26783797	0.8624826	-0.691905	8000	-0.015050352	2147.937	-6.556511e-07	-0.11027527	3.6881118	2.4741888e-07	2.776742935180664
2	-114.769	3.0342355	-106.64637	-120.3807	73.14286	0.02772876	0.2684851	0.93306583	-0.7685017	12000	0.01516372	2301.7566	-3.799796e-07	-0.13814545	3.670104	-1.0326505e-07	3.967541217803955
3	-114.14284	8.334694	-76.319786	-124.288345	112.354836	0.10346283	0.26207423	0.8855519	-0.98235893	16000	0.008648962	3397.2275	-1.0356307e-06	-0.29476833	3.6635966	2.2289157e-07	5.1559741497039795
4	-115.15189	5.2567344	-105.56938	-128.7645	80.85185	0.080898635	0.2694967	0.8366667	-0.8411016	20000	-0.03441143	2982.477	-7.8231096e-07	-0.26083374	3.6940715	4.69327e-07	6.347599506378174
5	-113.11251	7.094962	-80.12707	-123.43506	104.76667	0.042452235	0.27065206	0.89148647	-0.9954041	24000	0.0070391893	3116.5557	-3.874302e-07	-0.25033092	3.6740303	-1.2284518e-07	7.547351598739624
6	-116.050575	3.5405164	-110.56784	-122.92536	84.22581	0.12504508	0.24309586	0.9033353	-0.7308362	28000	-0.060295224	3525.4531	-5.8859587e-07	-0.35025024	3.663621	-1.7040969e-07	8.730615139007568
7	-115.50852	5.060137	-107.23121	-124.9057	89.44827	0.15457034	0.254189	0.82688767	-0.66794187	32000	0.01009509	3438.5186	-6.2584877e-07	-0.34524536	3.6879213	1.0380148e-07	9.907027244567871
8	-114.83024	4.7965	-105.72369	-125.379845	81.17949	0.13887326	0.25894228	0.8740695	-0.8146059	36000	-0.013547204	4415.115	-4.4889748e-07	-0.51763916	3.675981	2.5460125e-07	11.088654518127441
9	-116.4276	14.526386	-72.6333	-166.712	149.17392	0.019578414	0.25965428	0.8719131	-0.7089869	40000	0.005204797	2583.633	-4.5076013e-07	-0.20400715	3.642991	-1.6659499e-08	12.561388969421387
