Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	Time
0	-48.151947	2.2750132	-45.449673	-51.580193	1000.0	-0.26547742	0.17783536	0.2802146	-1.0266593	4000	-0.021705717	16.843239	-2.3320317e-06	-0.06482172	3.652707	-1.2657046e-07	2.1996798515319824
1	-49.753574	2.4893134	-47.599552	-53.91341	1000.0	-0.26723784	0.17436805	0.582737	-1.2374324	8000	-0.050581835	18.499203	-2.5525223e-06	-0.072087765	3.6428251	9.830594e-07	3.857011556625366
2	-47.759514	3.2443635	-42.369186	-50.95035	1000.0	-0.2862312	0.17483181	0.34462363	-1.2227812	12000	-0.042899966	16.145477	-2.7865171e-06	-0.073262215	3.689251	2.9367212e-07	5.494466781616211
3	-48.16945	1.5225478	-46.974304	-50.77014	1000.0	-0.289343	0.17450714	0.2635282	-1.2318155	16000	-0.02535473	16.766363	-3.6936253e-06	-0.0796237	3.6975188	3.322661e-07	7.103223562240601
4	-47.8592	0.56604344	-46.93733	-48.35439	1000.0	-0.2973022	0.17723852	0.42429614	-1.3868135	20000	-0.076685816	18.335377	-1.4533289e-06	-0.08491969	3.7047486	5.1727886e-07	8.718218088150024
5	-46.66777	1.1838783	-44.64255	-47.618534	1000.0	-0.30984828	0.1729399	0.3875065	-1.3992828	24000	-0.042065606	15.704382	-1.7988496e-06	-0.08194995	3.6298401	3.052354e-07	10.302122592926025
6	-61.08568	27.491316	-42.083572	-108.52655	771.5	-0.32960615	0.1725785	0.37219876	-1.1968977	28000	-0.031524807	122.27621	-2.592802e-06	-0.17537522	3.672514	5.404651e-07	11.944335699081421
7	-49.41943	2.9702601	-44.97182	-52.497517	1000.0	-0.33489466	0.17443365	0.34385148	-1.1922064	32000	-0.03819312	15.88809	-3.5557896e-06	-0.08672452	3.6768546	4.5296545e-07	13.551811695098877
8	-46.162964	3.680678	-41.14059	-50.83117	1000.0	-0.35925457	0.1692715	0.21904568	-1.3435595	36000	-0.061426282	15.44803	-3.85195e-06	-0.08955765	3.6692147	-1.1722447e-06	15.191522121429443
9	-66.07686	23.94349	-49.492737	-107.41277	767.0	-0.3766834	0.17978081	0.37239084	-1.3554728	40000	-0.016548857	114.45856	-2.2873282e-06	-0.18122673	3.6568549	-3.297925e-07	17.069828748703003
