Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	Time
0	-76.866974	25.70524	-48.816566	-108.51558	620.8	0.16566925	0.14108323	0.62022233	-0.3253683	4000	-0.015749127	208.34203	-9.23872e-07	-0.056595325	3.6770134	-2.3156406e-07	1.975947618484497
1	-102.7665	19.591276	-59.126305	-114.30376	215.0	0.17849718	0.14480352	0.6100287	-0.25534895	8000	-0.019972771	516.83167	-9.834766e-07	-0.11747742	3.6791737	-1.0237097e-07	3.401667833328247
2	-64.44769	9.442709	-52.854897	-74.60616	1000.0	0.16293246	0.13971578	0.54087615	-0.24024732	12000	-0.032579944	36.59796	-1.7732382e-06	-0.0422163	3.6286469	1.1709928e-06	4.834810733795166
3	-56.936806	3.121668	-52.867138	-61.463005	1000.0	0.16417103	0.14125404	0.603116	-0.30357292	16000	-0.04751136	29.788296	-4.289672e-06	-0.04460764	3.696796	8.1419955e-08	6.2430031299591064
4	-58.414497	5.985888	-52.18064	-68.261536	1000.0	0.1622953	0.14607164	0.5856021	-0.298203	20000	-0.0007994473	30.677418	-1.95764e-06	-0.044015884	3.7411616	5.925298e-07	7.6399641036987305
5	-58.67615	3.7415602	-54.251694	-64.1647	1000.0	0.17842941	0.13884361	0.5999206	-0.26083252	24000	-0.04633701	33.718548	-2.4298206e-06	-0.051973343	3.6628911	1.9726158e-07	9.055018663406372
6	-83.45698	25.926413	-57.480263	-120.43349	624.4	0.14823462	0.14114732	0.5768251	-0.26725262	28000	-0.0032834113	239.33937	-6.631017e-07	-0.09778309	3.6640835	9.590387e-08	10.482241868972778
7	-84.40117	26.581404	-56.40656	-112.84997	535.0	0.14403412	0.14233674	0.57757854	-0.28185868	32000	0.016926646	241.29953	-7.4505806e-07	-0.09948254	3.685881	-5.5521728e-08	11.896899223327637
8	-89.41792	24.861074	-54.274742	-110.94495	429.6	0.13533625	0.14065862	0.6079639	-0.26119384	36000	0.0154643655	291.647	-1.2293458e-06	-0.1117897	3.6721604	9.271502e-08	13.303252458572388
9	-84.82995	25.118559	-55.80468	-110.82391	536.75	0.13024288	0.14198703	0.5941842	-0.321562	40000	0.0077131987	242.45914	-5.2154064e-07	-0.108587265	3.6590805	6.723403e-08	14.95224642753601
